"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","南投縣南投市","三和里","1196","3505","1749","1756",351,360,367,361,358,350,259,226,100,59,1435,1356
"10309","南投縣南投市","三民里","365","1029","495","534",121,116,100,86,119,131,57,44,45,21,442,398
"10309","南投縣南投市","三興里","2161","6636","3327","3309",758,828,739,667,756,698,252,219,100,76,2605,2488
"10309","南投縣南投市","仁和里","219","614","296","318",71,81,57,43,79,70,36,40,26,12,269,246
"10309","南投縣南投市","光明里","582","1333","614","719",75,83,111,100,137,117,240,122,76,103,639,525
"10309","南投縣南投市","光榮里","631","1453","727","726",74,115,93,113,152,151,200,113,147,126,666,618
"10309","南投縣南投市","光華里","486","1176","553","623",79,84,77,82,124,125,161,68,103,95,544,454
"10309","南投縣南投市","光輝里","236","717","338","379",56,57,85,72,62,67,49,32,27,14,279,242
"10309","南投縣南投市","內新里","549","1809","990","819",168,206,176,230,172,188,80,105,54,35,650,764
"10309","南投縣南投市","內興里","2595","8010","3991","4019",854,893,901,838,917,827,328,286,117,103,3117,2947
"10309","南投縣南投市","千秋里","365","1207","619","588",139,146,114,149,122,142,67,51,41,19,483,507
"10309","南投縣南投市","南投里","275","710","349","361",69,77,66,59,98,96,54,46,28,10,315,288
"10309","南投縣南投市","嘉和里","1801","5233","2634","2599",577,690,624,611,611,508,237,204,68,46,2117,2059
"10309","南投縣南投市","嘉興里","786","2501","1295","1206",287,352,225,250,285,291,121,115,74,38,992,1046
"10309","南投縣南投市","崇文里","434","1237","621","616",121,151,112,102,139,148,79,61,41,28,492,490
"10309","南投縣南投市","平和里","2602","7084","3443","3641",856,924,759,697,933,794,386,283,141,92,3075,2790
"10309","南投縣南投市","平山里","2079","6327","3113","3214",813,844,718,688,736,689,247,199,88,54,2602,2474
"10309","南投縣南投市","康壽里","648","1733","833","900",190,197,182,142,212,198,117,92,35,29,736,658
"10309","南投縣南投市","彰仁里","182","486","242","244",39,44,40,44,63,53,34,33,22,19,198,193
"10309","南投縣南投市","振興里","795","2464","1300","1164",255,308,238,268,264,319,142,150,61,36,960,1081
"10309","南投縣南投市","新興里","1899","5933","2987","2946",723,841,718,656,667,569,187,175,77,53,2372,2294
"10309","南投縣南投市","東山里","166","495","267","228",42,46,45,65,49,53,31,38,13,17,180,219
"10309","南投縣南投市","永興里","275","962","520","442",102,84,95,146,70,95,63,56,24,25,354,406
"10309","南投縣南投市","永豐里","1071","3300","1706","1594",383,467,378,367,382,350,147,124,48,34,1338,1342
"10309","南投縣南投市","漳和里","2713","8424","4238","4186",992,1178,944,859,977,865,381,310,150,96,3444,3308
"10309","南投縣南投市","漳興里","1053","3112","1551","1561",368,412,345,300,376,363,163,130,68,41,1320,1246
"10309","南投縣南投市","營北里","2493","7420","3645","3775",763,811,790,713,915,783,407,279,102,129,2977,2715
"10309","南投縣南投市","營南里","880","2794","1448","1346",301,380,292,293,299,321,137,138,67,48,1096,1180
"10309","南投縣南投市","福山里","684","2274","1186","1088",247,264,231,278,229,258,131,108,55,48,893,956
"10309","南投縣南投市","福興里","1146","3419","1730","1689",406,434,343,410,413,389,176,158,59,41,1397,1432
"10309","南投縣南投市","軍功里","1807","5711","2828","2883",637,729,662,580,648,555,233,218,82,60,2262,2142
"10309","南投縣南投市","鳳山里","431","1316","728","588",108,128,132,197,113,157,99,107,55,40,507,629
"10309","南投縣南投市","鳳鳴里","272","801","435","366",68,62,82,117,64,107,58,69,37,15,309,370
"10309","南投縣南投市","龍泉里","429","1157","569","588",130,116,122,117,124,132,79,69,38,21,493,455
"10309","南投縣埔里鎮","一新里","264","1100","468","632",90,85,208,118,187,137,65,55,41,22,591,417
"10309","南投縣埔里鎮","北安里","1337","4044","1966","2078",452,453,453,399,476,420,179,166,79,66,1639,1504
"10309","南投縣埔里鎮","北梅里","1348","3963","1976","1987",407,471,458,405,476,395,173,153,46,38,1560,1462
"10309","南投縣埔里鎮","北門里","1123","3081","1562","1519",316,330,333,334,364,359,168,137,56,50,1237,1210
"10309","南投縣埔里鎮","南村里","534","1663","865","798",176,183,181,207,163,188,79,85,34,24,633,687
"10309","南投縣埔里鎮","南門里","385","991","509","482",85,96,101,90,123,128,78,95,35,36,422,445
"10309","南投縣埔里鎮","史港里","241","699","372","327",64,63,78,85,79,111,49,47,27,21,297,327
"10309","南投縣埔里鎮","合成里","620","1997","1022","975",210,176,204,255,216,218,114,109,42,37,786,795
"10309","南投縣埔里鎮","同聲里","961","2713","1336","1377",288,334,301,284,354,306,182,133,52,38,1177,1095
"10309","南投縣埔里鎮","向善里","269","767","417","350",60,93,69,80,86,105,49,54,31,27,295,359
"10309","南投縣埔里鎮","大城里","2495","6904","3371","3533",735,756,758,763,870,758,419,339,145,117,2927,2733
"10309","南投縣埔里鎮","大湳里","645","1803","906","897",188,196,210,212,200,192,114,80,28,30,740,710
"10309","南投縣埔里鎮","廣成里","474","1352","705","647",87,115,163,155,166,202,78,96,57,43,551,611
"10309","南投縣埔里鎮","愛蘭里","617","1773","866","907",186,188,199,202,204,186,98,68,42,28,729,672
"10309","南投縣埔里鎮","成功里","139","390","219","171",30,25,33,55,40,65,30,27,18,18,151,190
"10309","南投縣埔里鎮","房里里","514","1657","858","799",167,175,185,199,165,207,90,64,38,18,645,663
"10309","南投縣埔里鎮","東門里","1280","3286","1647","1639",298,310,348,374,386,395,273,221,88,65,1393,1365
"10309","南投縣埔里鎮","杷城里","1099","3239","1619","1620",341,394,352,343,383,368,178,137,56,32,1310,1274
"10309","南投縣埔里鎮","枇杷里","3161","8936","4451","4485",985,1077,988,986,1064,931,407,353,125,119,3569,3466
"10309","南投縣埔里鎮","桃米里","470","1188","640","548",106,125,124,150,137,180,73,76,34,22,474,553
"10309","南投縣埔里鎮","水頭里","1536","4482","2294","2188",437,505,499,514,565,509,196,209,69,69,1766,1806
"10309","南投縣埔里鎮","泰安里","899","2608","1278","1330",296,329,273,272,331,268,146,107,38,47,1084,1023
"10309","南投縣埔里鎮","清新里","1590","4433","2221","2212",446,467,529,541,487,482,278,220,93,61,1833,1771
"10309","南投縣埔里鎮","溪南里","412","1370","667","703",133,139,191,170,155,111,66,62,25,15,570,497
"10309","南投縣埔里鎮","牛眠里","1106","3405","1729","1676",359,380,366,400,347,399,195,182,90,49,1357,1410
"10309","南投縣埔里鎮","珠格里","414","1311","712","599",126,159,134,156,133,159,64,84,34,19,491,577
"10309","南投縣埔里鎮","福興里","417","1185","592","593",109,110,121,128,155,155,73,71,42,23,500,487
"10309","南投縣埔里鎮","籃城里","354","1085","571","514",123,138,101,112,136,140,49,74,32,11,441,475
"10309","南投縣埔里鎮","薰化里","500","1293","624","669",127,114,139,128,158,135,101,99,58,23,583,499
"10309","南投縣埔里鎮","蜈蚣里","1133","3167","1645","1522",315,363,316,353,373,395,175,147,75,81,1254,1339
"10309","南投縣埔里鎮","西門里","1373","3968","1961","2007",387,433,411,409,433,404,266,201,99,60,1596,1507
"10309","南投縣埔里鎮","鐵山里","750","2151","1097","1054",207,246,261,251,222,209,97,82,45,38,832,826
"10309","南投縣埔里鎮","麒麟里","442","1228","657","571",111,154,111,143,156,169,73,71,36,27,487,564
"10309","南投縣草屯鎮","上林里","1169","3583","1831","1752",457,463,365,362,433,432,170,170,70,42,1495,1469
"10309","南投縣草屯鎮","中原里","735","2488","1280","1208",264,269,252,293,252,279,147,140,70,41,985,1022
