"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","嘉義市東 區","中央里","1042","2698","1343","1355",261,258,283,262,295,327,196,181,92,54,1127,1082
"10309","嘉義市東 區","中山里","972","2255","1031","1224",200,210,283,215,268,221,165,111,86,54,1002,811
"10309","嘉義市東 區","中庄里","1494","4075","1966","2109",418,413,568,461,447,342,194,156,43,42,1670,1414
"10309","嘉義市東 區","仁義里","1307","3744","1776","1968",438,393,490,367,429,322,135,114,43,33,1535,1229
"10309","嘉義市東 區","北門里","1090","2873","1417","1456",268,280,316,282,290,331,203,170,102,59,1179,1122
"10309","嘉義市東 區","圳頭里","1877","4979","2369","2610",480,522,613,558,569,475,380,168,98,161,2140,1884
"10309","嘉義市東 區","太平里","2027","5448","2533","2915",528,497,783,562,567,459,269,194,93,79,2240,1791
"10309","嘉義市東 區","安寮里","1204","3156","1562","1594",304,361,362,369,377,344,229,175,75,47,1347,1296
"10309","嘉義市東 區","安業里","852","2329","1132","1197",252,273,289,240,275,244,136,102,37,29,989,888
"10309","嘉義市東 區","宣信里","626","1636","825","811",166,171,168,177,186,191,120,120,68,40,708,699
"10309","嘉義市東 區","後庄里","1567","4852","2365","2487",550,547,533,540,577,516,254,185,51,66,1965,1854
"10309","嘉義市東 區","後湖里","1394","4200","2062","2138",486,475,524,458,454,376,165,131,45,39,1674,1479
"10309","嘉義市東 區","文雅里","1740","4612","2145","2467",415,397,738,525,504,401,172,108,43,21,1872,1452
"10309","嘉義市東 區","新店里","1752","5046","2391","2655",505,569,644,545,591,474,271,215,85,61,2096,1864
"10309","嘉義市東 區","新開里","931","2355","1150","1205",256,279,237,226,304,266,167,103,73,52,1037,926
"10309","嘉義市東 區","朝陽里","885","2457","1231","1226",242,258,259,289,268,287,203,157,90,60,1062,1051
"10309","嘉義市東 區","東川里","857","2200","1045","1155",186,207,274,241,241,199,167,86,58,80,926,813
"10309","嘉義市東 區","東興里","941","2239","1071","1168",204,210,222,187,279,261,199,161,94,57,998,876
"10309","嘉義市東 區","林森里","1171","3556","1698","1858",302,284,506,316,267,284,180,142,74,49,1329,1075
