"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","嘉義縣太保市","前潭里","552","1780","974","806",196,231,171,186,161,233,99,118,51,36,678,804
"10309","嘉義縣太保市","北新里","1101","3538","1810","1728",396,409,423,429,327,382,150,141,72,35,1368,1396
"10309","嘉義縣太保市","南新里","704","2229","1148","1081",230,243,252,258,197,255,117,120,49,32,845,908
"10309","嘉義縣太保市","埤鄉里","282","868","481","387",78,105,77,96,87,116,43,57,34,21,319,395
"10309","嘉義縣太保市","太保里","897","2688","1388","1300",284,334,336,308,253,301,127,123,56,31,1056,1097
"10309","嘉義縣太保市","安仁里","1210","3351","1623","1728",293,267,527,436,235,237,94,82,33,22,1182,1044
"10309","嘉義縣太保市","崙頂里","326","984","513","471",91,92,100,122,90,121,68,67,39,31,388,433
"10309","嘉義縣太保市","後庄里","158","600","312","288",62,78,55,75,65,69,31,24,17,11,230,257
"10309","嘉義縣太保市","後潭里","591","1955","1028","927",174,223,189,246,185,227,121,98,74,36,743,830
"10309","嘉義縣太保市","新埤里","481","1511","807","704",150,177,149,155,146,217,84,90,52,30,581,669
"10309","嘉義縣太保市","春珠里","354","1168","620","548",142,151,101,130,116,146,68,61,30,15,457,503
"10309","嘉義縣太保市","東勢里","734","2120","1070","1050",172,185,317,283,148,182,86,73,39,21,762,744
"10309","嘉義縣太保市","梅埔里","404","1388","755","633",140,167,132,173,126,188,84,70,35,19,517,617
"10309","嘉義縣太保市","港尾里","215","662","353","309",71,73,70,81,62,88,36,42,23,17,262,301
"10309","嘉義縣太保市","田尾里","313","868","483","385",74,104,84,94,84,135,58,50,29,18,329,401
"10309","嘉義縣太保市","舊埤里","901","2605","1347","1258",262,264,344,381,236,254,106,93,38,18,986,1010
"10309","嘉義縣太保市","過溝里","1197","3610","1849","1761",399,468,468,428,341,388,110,109,60,29,1378,1422
"10309","嘉義縣太保市","麻寮里","1694","5129","2550","2579",541,583,718,634,454,463,200,149,77,38,1990,1867
"10309","嘉義縣朴子市","中正里","315","817","409","408",98,84,76,75,98,109,64,64,25,16,361,348
"10309","嘉義縣朴子市","仁和里","898","1969","901","1068",271,173,338,254,129,123,47,40,26,16,811,606
"10309","嘉義縣朴子市","佳禾里","296","911","451","460",90,112,90,94,97,96,47,41,23,11,347,354
"10309","嘉義縣朴子市","內厝里","419","1264","637","627",120,128,136,124,132,160,78,66,53,27,519,505
"10309","嘉義縣朴子市","南竹里","228","608","328","280",51,54,50,76,43,91,57,46,36,20,237,287
"10309","嘉義縣朴子市","博厚里","344","973","482","491",107,90,105,98,81,98,76,55,27,22,396,363
"10309","嘉義縣朴子市","<U+53CC>溪里","286","752","407","345",60,76,60,81,73,108,51,56,50,27,294,348
