"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","基隆市中正區","中正里","1028","2253","1205","1048",207,254,230,292,284,348,172,138,42,47,935,1079
"10309","基隆市中正區","中濱里","628","1522","803","719",152,184,133,178,188,182,119,97,35,32,627,673
"10309","基隆市中正區","中砂里","587","1303","656","647",118,110,125,161,173,160,120,91,36,41,572,563
"10309","基隆市中正區","中船里","604","1466","754","712",130,149,169,185,166,163,114,69,39,36,618,602
"10309","基隆市中正區","信義里","464","1078","541","537",102,100,106,124,143,134,87,77,38,28,476,463
"10309","基隆市中正區","入船里","438","1041","519","522",83,99,116,116,131,124,82,61,32,31,444,431
"10309","基隆市中正區","八斗里","645","1789","965","824",200,250,149,190,219,253,101,96,35,20,704,809
"10309","基隆市中正區","和憲里","501","1224","644","580",128,131,128,161,136,146,73,50,28,33,493,521
"10309","基隆市中正區","平寮里","617","1568","836","732",149,195,130,219,183,188,120,94,33,34,615,730
"10309","基隆市中正區","建國里","939","2317","1216","1101",235,264,228,253,305,330,147,104,48,51,963,1002
"10309","基隆市中正區","德義里","416","851","413","438",87,85,87,79,105,108,71,54,30,23,380,349
"10309","基隆市中正區","新富里","2165","5735","2925","2810",732,771,665,714,700,663,183,153,36,35,2316,2336
"10309","基隆市中正區","新豐里","2867","5891","2818","3073",597,608,987,857,729,576,211,135,44,42,2568,2218
"10309","基隆市中正區","正濱里","527","1189","639","550",92,130,118,150,145,179,93,69,35,29,483,557
"10309","基隆市中正區","正砂里","1163","2696","1363","1333",259,301,269,337,376,339,191,145,66,51,1161,1173
"10309","基隆市中正區","正義里","649","1469","760","709",143,152,138,137,208,213,98,90,38,40,625,632
"10309","基隆市中正區","正船里","654","1521","797","724",118,169,161,170,198,207,101,76,36,31,614,653
"10309","基隆市中正區","海濱里","564","1457","773","684",122,163,160,214,159,195,98,67,22,20,561,659
"10309","基隆市中正區","港通里","688","1432","707","725",136,142,141,144,201,186,98,93,53,34,629,599
"10309","基隆市中正區","真砂里","635","1493","746","747",153,164,142,170,201,210,132,73,31,35,659,652
"10309","基隆市中正區","砂子里","2533","5832","3015","2817",625,700,756,760,661,654,212,222,73,48,2327,2384
"10309","基隆市中正區","砂灣里","993","2411","1232","1179",224,265,257,279,312,290,186,135,45,65,1024,1034
"10309","基隆市中正區","碧砂里","614","1551","811","740",155,181,161,210,183,189,89,68,40,24,628,672
"10309","基隆市中正區","社寮里","810","2196","1163","1033",212,247,218,247,234,304,136,126,51,36,851,960
"10309","基隆市中正區","義重里","518","1279","624","655",131,140,137,134,155,151,98,68,40,35,561,528
"10309","基隆市中正區","長潭里","228","620","323","297",57,64,69,66,61,88,44,33,21,20,252,271
"10309","基隆市七堵區","八德里","657","1786","885","901",235,199,182,198,221,215,98,72,31,25,767,709
"10309","基隆市七堵區","六堵里","1075","2594","1369","1225",255,321,325,347,304,312,102,91,43,25,1029,1096
"10309","基隆市七堵區","友一里","907","1900","963","937",206,218,206,241,295,285,102,81,36,25,845,850
"10309","基隆市七堵區","友二里","259","504","277","227",45,34,28,66,67,101,30,40,21,13,191,254
"10309","基隆市七堵區","堵北里","1512","4134","2088","2046",472,540,498,486,505,458,135,134,48,27,1658,1645
"10309","基隆市七堵區","堵南里","924","2436","1256","1180",238,267,293,342,255,290,114,99,43,32,943,1030
"10309","基隆市七堵區","富民里","1653","4209","2112","2097",438,514,408,440,542,532,274,192,103,82,1765,1760
"10309","基隆市七堵區","實踐里","1618","4501","2232","2269",534,579,510,511,547,505,181,152,52,35,1824,1782
"10309","基隆市七堵區","正光里","1200","2880","1422","1458",296,286,329,319,349,364,168,152,69,39,1211,1160
"10309","基隆市七堵區","正明里","960","2468","1218","1250",248,266,279,264,287,289,139,118,85,47,1038,984
"10309","基隆市七堵區","永安里","989","2593","1300","1293",280,284,295,297,310,303,153,120,59,40,1097,1044
"10309","基隆市七堵區","永平里","951","2321","1095","1226",216,209,269,243,298,258,188,114,71,51,1042,875
"10309","基隆市七堵區","泰安里","1993","4904","2502","2402",499,607,622,660,595,541,206,187,65,32,1987,2027
"10309","基隆市七堵區","瑪南里","181","499","285","214",35,65,44,64,56,75,26,32,15,12,176,248
"10309","基隆市七堵區","瑪東里","147","304","173","131",25,31,27,45,37,50,20,27,10,7,119,160
"10309","基隆市七堵區","瑪西里","165","375","210","165",35,44,38,55,40,54,21,26,14,7,148,186
"10309","基隆市七堵區","百福里","2516","7158","3568","3590",852,913,883,853,840,723,271,205,55,46,2901,2740
"10309","基隆市七堵區","自強里","459","1146","623","523",85,141,123,163,127,125,63,71,22,23,420,523
"10309","基隆市七堵區","長安里","1056","2842","1478","1364",342,423,301,326,384,349,66,78,13,21,1106,1197
"10309","基隆市七堵區","長興里","1688","4425","2265","2160",441,484,500,571,480,493,303,237,62,61,1786,1846
"10309","基隆市暖暖區","八中里","243","547","325","222",48,60,47,81,52,80,37,40,13,9,197,270
"10309","基隆市暖暖區","八南里","324","749","387","362",82,91,76,89,105,106,46,35,20,17,329,338
"10309","基隆市暖暖區","八堵里","310","767","404","363",78,85,80,76,92,116,62,47,18,20,330,344
"10309","基隆市暖暖區","八西里","669","1687","853","834",163,190,197,216,213,204,98,73,38,23,709,706
"10309","基隆市暖暖區","暖同里","1201","2936","1517","1419",314,337,337,366,385,392,141,119,43,42,1220,1256
"10309","基隆市暖暖區","暖暖里","1129","2929","1467","1462",327,334,329,341,395,372,128,109,45,27,1224,1183
"10309","基隆市暖暖區","暖東里","187","539","292","247",66,53,48,73,59,79,22,17,11,9,206,231
"10309","基隆市暖暖區","暖西里","2018","5351","2712","2639",577,595,620,640,677,668,200,168,70,56,2144,2127
"10309","基隆市暖暖區","碇內里","1250","3096","1528","1568",338,340,379,351,364,335,139,103,72,84,1292,1213
"10309","基隆市暖暖區","碇和里","1331","3380","1689","1691",370,375,405,369,416,388,181,87,65,109,1437,1328
"10309","基隆市暖暖區","碇安里","2256","5775","2874","2901",614,650,770,750,663,537,274,181,74,124,2395,2242
"10309","基隆市暖暖區","碇祥里","2636","6291","3163","3128",686,742,856,829,764,717,191,176,44,32,2541,2496
"10309","基隆市暖暖區","過港里","1663","4174","2086","2088",480,484,474,455,525,529,221,172,58,67,1758,1707
"10309","基隆市仁愛區","仁德里","485","1072","534","538",107,84,111,114,118,131,82,87,42,23,460,439
"10309","基隆市仁愛區","兆連里","383","842","430","412",76,90,88,102,107,112,67,36,30,23,368,363
"10309","基隆市仁愛區","光華里","1267","2862","1453","1409",270,348,301,341,388,367,214,133,65,48,1238,1237
"10309","基隆市仁愛區","博愛里","744","1799","881","918",163,191,182,180,242,210,144,123,42,32,773,736
"10309","基隆市仁愛區","吉仁里","1243","2892","1500","1392",264,329,264,362,398,420,253,188,90,47,1269,1346
"10309","基隆市仁愛區","同風里","296","644","323","321",63,61,51,69,88,91,66,59,25,14,293,294
"10309","基隆市仁愛區","和明里","1050","2488","1138","1350",160,143,420,251,235,179,123,91,41,33,979,697
"10309","基隆市仁愛區","崇文里","501","1008","516","492",88,107,108,114,128,146,88,67,32,20,444,454
"10309","基隆市仁愛區","德厚里","866","2011","1007","1004",217,245,258,281,270,236,92,66,34,28,871,856
"10309","基隆市仁愛區","忠勇里","512","1298","627","671",104,99,166,153,135,136,72,68,36,10,513,466
"10309","基隆市仁愛區","文安里","478","965","494","471",84,113,92,93,129,150,88,65,44,20,437,441
"10309","基隆市仁愛區","文昌里","442","859","456","403",77,84,67,83,114,145,73,73,37,20,368,405
"10309","基隆市仁愛區","新店里","341","715","340","375",70,62,58,68,88,96,65,48,35,12,316,286
"10309","基隆市仁愛區","明德里","402","774","390","384",81,82,74,83,119,127,57,45,26,23,357,360
"10309","基隆市仁愛區","智仁里","1405","3570","1632","1938",260,249,538,334,316,289,187,138,81,64,1382,1074
"10309","基隆市仁愛區","曲水里","420","979","505","474",77,104,117,126,121,126,83,53,25,18,423,427
"10309","基隆市仁愛區","書院里","484","1290","676","614",113,134,132,177,148,152,97,80,35,30,525,573
"10309","基隆市仁愛區","朝棟里","1393","3283","1601","1682",346,331,355,411,414,393,206,117,112,111,1433,1363
"10309","基隆市仁愛區","林泉里","964","2585","1242","1343",199,190,347,274,257,229,137,104,53,32,993,829
"10309","基隆市仁愛區","水錦里","1055","2687","1251","1436",174,179,407,264,222,225,132,113,55,34,990,815
"10309","基隆市仁愛區","獅球里","470","1169","627","542",80,150,122,173,128,136,99,62,42,35,471,556
"10309","基隆市仁愛區","玉田里","598","1438","695","743",108,111,187,151,129,146,76,75,49,20,549,503
"10309","基隆市仁愛區","福仁里","367","867","452","415",71,104,89,96,123,128,69,53,23,19,375,400
"10309","基隆市仁愛區","育仁里","345","919","497","422",83,96,78,118,104,129,65,57,39,16,369,416
"10309","基隆市仁愛區","花崗里","594","1591","735","856",114,125,246,136,142,127,79,57,29,28,610,473
"10309","基隆市仁愛區","英仁里","620","1492","788","704",133,183,136,194,190,210,106,88,53,29,618,704
"10309","基隆市仁愛區","虹橋里","940","2357","1086","1271",171,154,357,222,198,160,142,101,52,37,920,674
"10309","基隆市仁愛區","誠仁里","475","1134","575","559",111,136,111,157,145,129,89,59,37,14,493,495
"10309","基隆市仁愛區","龍門里","389","884","465","419",99,102,87,114,106,136,53,48,28,13,373,413
"10309","基隆市中山區","中和里","2500","6500","3253","3247",750,804,822,877,815,672,251,207,72,55,2710,2615
"10309","基隆市中山區","中山里","440","1093","571","522",90,115,125,135,118,165,94,62,44,22,471,499
"10309","基隆市中山區","中興里","666","1522","773","749",136,163,194,201,171,170,128,84,34,36,663,654
"10309","基隆市中山區","仁正里","339","895","488","407",107,108,82,134,91,131,60,53,22,11,362,437
"10309","基隆市中山區","仙洞里","311","743","405","338",58,64,70,111,75,94,67,56,25,13,295,338
"10309","基隆市中山區","健民里","594","1391","727","664",120,133,137,181,160,172,116,86,56,47,589,619
"10309","基隆市中山區","協和里","714","1865","1000","865",189,245,172,214,218,288,105,77,45,33,729,857
