"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","宜蘭縣宜蘭市","七張里","521","1734","914","820",182,219,180,191,147,184,82,90,50,28,641,712
"10309","宜蘭縣宜蘭市","七結里","1125","3196","1474","1722",353,332,442,334,344,243,133,95,27,29,1299,1033
"10309","宜蘭縣宜蘭市","中山里","484","1091","562","529",106,111,105,129,128,157,90,64,51,27,480,488
"10309","宜蘭縣宜蘭市","中興里","1227","3459","1658","1801",391,433,402,378,422,338,190,112,54,51,1459,1312
"10309","宜蘭縣宜蘭市","凱旋里","471","1497","768","729",152,173,173,184,131,162,76,58,30,19,562,596
"10309","宜蘭縣宜蘭市","北津里","918","2604","1291","1313",336,360,278,287,337,259,121,97,30,31,1102,1034
"10309","宜蘭縣宜蘭市","北門里","503","1392","720","672",154,176,145,156,161,165,84,74,44,25,588,596
"10309","宜蘭縣宜蘭市","南橋里","451","1396","722","674",162,149,145,160,142,153,70,76,31,21,550,559
"10309","宜蘭縣宜蘭市","南津里","1011","2397","1170","1227",172,187,291,294,224,235,180,91,100,101,967,908
"10309","宜蘭縣宜蘭市","南門里","696","1877","919","958",190,185,231,177,203,185,109,95,40,37,773,679
"10309","宜蘭縣宜蘭市","大新里","385","956","461","495",90,92,112,96,89,111,84,65,41,19,416,383
"10309","宜蘭縣宜蘭市","孝廉里","530","1387","742","645",117,163,143,180,129,158,101,79,48,40,538,620
"10309","宜蘭縣宜蘭市","小東里","650","1718","873","845",185,219,164,206,218,184,138,105,41,30,746,744
"10309","宜蘭縣宜蘭市","延平里","1319","3888","1862","2026",410,412,577,462,354,300,142,105,42,38,1525,1317
"10309","宜蘭縣宜蘭市","建業里","676","1948","1000","948",197,210,239,231,187,193,88,99,29,22,740,755
"10309","宜蘭縣宜蘭市","建軍里","750","2101","978","1123",261,231,248,199,252,181,93,72,28,18,882,701
"10309","宜蘭縣宜蘭市","復興里","1387","3369","1599","1770",361,368,403,355,370,304,262,158,91,74,1487,1259
"10309","宜蘭縣宜蘭市","思源里","1894","5297","2537","2760",555,595,756,535,591,456,150,126,37,44,2089,1756
"10309","宜蘭縣宜蘭市","慈安里","772","2005","935","1070",245,237,269,226,238,178,106,58,35,25,893,724
"10309","宜蘭縣宜蘭市","成功里","1316","3803","1815","1988",391,427,537,438,402,280,138,100,45,48,1513,1293
"10309","宜蘭縣宜蘭市","擺厘里","1334","3348","1566","1782",417,398,393,323,446,339,171,121,36,43,1463,1224
"10309","宜蘭縣宜蘭市","文化里","1458","3994","1900","2094",400,408,503,373,450,356,228,156,71,67,1652,1360
"10309","宜蘭縣宜蘭市","新東里","1397","3900","1817","2083",445,414,557,428,435,305,185,108,52,39,1674,1294
"10309","宜蘭縣宜蘭市","新民里","812","1864","962","902",152,197,169,203,222,227,171,161,68,34,782,822
"10309","宜蘭縣宜蘭市","新生里","1005","2983","1520","1463",383,414,282,342,344,314,139,136,57,32,1205,1238
"10309","宜蘭縣宜蘭市","東村里","848","2586","1288","1298",320,314,315,294,264,228,96,77,26,20,1021,933
"10309","宜蘭縣宜蘭市","東門里","489","1130","583","547",92,108,114,131,133,144,93,97,40,24,472,504
"10309","宜蘭縣宜蘭市","梅洲里","1191","3617","1874","1743",435,472,385,434,392,365,166,185,64,47,1442,1503
"10309","宜蘭縣宜蘭市","民族里","1106","2972","1455","1517",240,257,348,296,292,265,238,147,79,84,1197,1049
"10309","宜蘭縣宜蘭市","民權里","963","2063","1062","1001",180,223,231,244,272,239,108,105,48,49,839,860
"10309","宜蘭縣宜蘭市","泰山里","957","2678","1261","1417",296,274,354,262,273,220,123,75,38,48,1084,879
