"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","屏東縣屏東市","一心里","607","1402","645","757",133,130,188,210,134,185,43,76,23,21,521,622
"10309","屏東縣屏東市","三山里","480","1539","779","760",198,179,153,151,208,181,83,80,23,37,665,628
"10309","屏東縣屏東市","中正里","2004","5552","2704","2848",703,619,591,692,571,684,186,247,43,43,2094,2285
"10309","屏東縣屏東市","仁愛里","1016","2956","1383","1573",305,289,285,386,266,323,116,162,37,31,1009,1191
"10309","屏東縣屏東市","仁義里","398","1340","715","625",178,138,143,130,158,165,69,64,26,20,574,517
"10309","屏東縣屏東市","信和里","554","1834","973","861",224,189,225,185,240,209,109,88,32,42,830,713
"10309","屏東縣屏東市","光榮里","338","882","431","451",79,84,95,99,107,106,53,60,26,25,360,374
"10309","屏東縣屏東市","光華里","338","821","459","362",105,66,119,90,112,95,52,56,10,15,398,322
"10309","屏東縣屏東市","公館里","486","1740","865","875",192,182,191,199,181,194,109,118,23,25,696,718
"10309","屏東縣屏東市","凌雲里","301","701","362","339",64,56,96,76,71,84,38,77,43,13,312,306
"10309","屏東縣屏東市","前進里","1100","3379","1772","1607",418,384,426,333,415,408,160,188,50,52,1469,1365
"10309","屏東縣屏東市","勝利里","2588","6025","3079","2946",730,595,675,695,832,851,220,285,109,86,2566,2512
"10309","屏東縣屏東市","勝豐里","188","527","261","266",45,45,65,66,61,61,39,36,7,21,217,229
"10309","屏東縣屏東市","北勢里","1034","2872","1421","1451",339,294,310,344,301,361,169,172,41,52,1160,1223
"10309","屏東縣屏東市","北興里","2620","7246","3520","3726",852,827,859,911,722,882,236,315,87,54,2756,2989
"10309","屏東縣屏東市","厚生里","1240","3433","1714","1719",393,360,437,403,368,379,161,215,45,57,1404,1414
"10309","屏東縣屏東市","和興里","395","1186","612","574",129,141,146,130,153,140,53,51,12,17,493,479
"10309","屏東縣屏東市","大同里","295","793","381","412",67,70,89,93,83,84,54,60,9,28,302,335
"10309","屏東縣屏東市","大埔里","287","845","446","399",107,81,97,76,113,100,57,63,15,24,389,344
"10309","屏東縣屏東市","大武里","3432","9722","4804","4918",1273,1169,1037,1148,1098,1244,302,384,92,77,3802,4022
"10309","屏東縣屏東市","大洲里","454","1415","754","661",192,171,165,150,190,154,56,65,11,25,614,565
"10309","屏東縣屏東市","大湖里","627","2086","1088","998",276,242,257,203,265,252,87,81,21,47,906,825
"10309","屏東縣屏東市","大連里","4038","11581","5618","5963",1440,1327,1066,1391,1305,1549,438,459,103,98,4352,4824
"10309","屏東縣屏東市","太平里","372","948","470","478",84,82,96,123,102,94,53,71,28,29,363,399
"10309","屏東縣屏東市","安樂里","240","601","300","301",56,64,58,67,61,68,38,49,14,11,227,259
"10309","屏東縣屏東市","安鎮里","808","2348","1195","1153",265,250,298,261,301,270,86,143,38,38,988,962
"10309","屏東縣屏東市","崇智里","178","477","251","226",52,42,65,54,69,53,33,34,5,12,224,195
