"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","屏東縣屏東市","一心里","607","1402","645","757",135,133,201,188,197,134,78,43,24,23,635,521
"10309","屏東縣屏東市","三山里","480","1539","779","760",170,198,151,153,188,208,85,83,40,23,634,665
"10309","屏東縣屏東市","中正里","2004","5552","2704","2848",627,703,701,591,691,571,270,186,50,43,2339,2094
"10309","屏東縣屏東市","仁愛里","1016","2956","1383","1573",286,305,389,285,324,266,175,116,38,37,1212,1009
"10309","屏東縣屏東市","仁義里","398","1340","715","625",138,178,122,143,172,158,67,69,24,26,523,574
"10309","屏東縣屏東市","信和里","554","1834","973","861",194,224,186,225,208,240,97,109,48,32,733,830
"10309","屏東縣屏東市","光榮里","338","882","431","451",80,79,101,95,105,107,60,53,30,26,376,360
"10309","屏東縣屏東市","光華里","338","821","459","362",66,105,87,119,98,112,57,52,17,10,325,398
"10309","屏東縣屏東市","公館里","486","1740","865","875",196,192,194,191,198,181,121,109,31,23,740,696
"10309","屏東縣屏東市","凌雲里","301","701","362","339",48,64,77,96,81,71,82,38,18,43,306,312
"10309","屏東縣屏東市","前進里","1100","3379","1772","1607",380,418,338,426,417,415,195,160,61,50,1391,1469
"10309","屏東縣屏東市","勝利里","2588","6025","3079","2946",596,730,679,675,867,832,312,220,91,109,2545,2566
"10309","屏東縣屏東市","勝豐里","188","527","261","266",41,45,65,65,67,61,37,39,21,7,231,217
"10309","屏東縣屏東市","北勢里","1034","2872","1421","1451",289,339,337,310,372,301,183,169,57,41,1238,1160
"10309","屏東縣屏東市","北興里","2620","7246","3520","3726",809,852,895,859,921,722,348,236,62,87,3035,2756
"10309","屏東縣屏東市","厚生里","1240","3433","1714","1719",350,393,413,437,377,368,227,161,69,45,1436,1404
"10309","屏東縣屏東市","和興里","395","1186","612","574",139,129,130,146,144,153,55,53,21,12,489,493
"10309","屏東縣屏東市","大同里","295","793","381","412",76,67,87,89,88,83,56,54,35,9,342,302
"10309","屏東縣屏東市","大埔里","287","845","446","399",82,107,78,97,99,113,62,57,30,15,351,389
"10309","屏東縣屏東市","大武里","3432","9722","4804","4918",1155,1273,1157,1037,1286,1098,414,302,92,92,4104,3802
"10309","屏東縣屏東市","大洲里","454","1415","754","661",163,192,148,165,166,190,64,56,30,11,571,614
"10309","屏東縣屏東市","大湖里","627","2086","1088","998",244,276,207,257,255,265,89,87,49,21,844,906
"10309","屏東縣屏東市","大連里","4038","11581","5618","5963",1333,1440,1369,1066,1594,1305,502,438,114,103,4912,4352
"10309","屏東縣屏東市","太平里","372","948","470","478",80,84,121,96,97,102,75,53,31,28,404,363
"10309","屏東縣屏東市","安樂里","240","601","300","301",66,56,62,58,74,61,47,38,15,14,264,227
"10309","屏東縣屏東市","安鎮里","808","2348","1195","1153",251,265,255,298,283,301,142,86,48,38,979,988
"10309","屏東縣屏東市","崇智里","178","477","251","226",40,52,52,65,55,69,34,33,14,5,195,224
"10309","屏東縣屏東市","崇武里","1400","3292","1596","1696",302,311,391,389,421,358,162,86,139,126,1415,1270
"10309","屏東縣屏東市","崇禮里","137","374","190","184",23,33,51,33,40,46,36,36,11,7,161,155
"10309","屏東縣屏東市","崇蘭里","4818","13434","6567","6867",1405,1468,1881,1670,1529,1273,603,356,161,203,5579,4970
"10309","屏東縣屏東市","平和里","318","789","400","389",85,83,67,74,115,101,54,59,28,22,349,339
"10309","屏東縣屏東市","廣興里","771","2387","1197","1190",290,283,276,302,256,253,140,97,44,48,1006,983
"10309","屏東縣屏東市","建國里","469","1105","556","549",121,126,155,147,138,131,40,45,14,9,468,458
"10309","屏東縣屏東市","必信里","258","707","365","342",63,73,77,94,77,86,49,40,19,12,285,305
"10309","屏東縣屏東市","慶春里","139","327","177","150",38,37,30,36,36,44,18,26,14,9,136,152
"10309","屏東縣屏東市","扶風里","277","772","384","388",63,74,78,92,91,99,49,38,30,21,311,324
"10309","屏東縣屏東市","擇仁里","440","1035","561","474",96,119,101,116,140,162,53,63,34,22,424,482
"10309","屏東縣屏東市","文明里","187","426","209","217",36,40,44,43,41,46,36,23,17,21,174,173
"10309","屏東縣屏東市","斯文里","853","2307","1107","1200",204,212,264,240,292,228,143,108,59,45,962,833
"10309","屏東縣屏東市","新生里","2199","6348","3212","3136",690,787,776,788,791,707,311,242,76,59,2644,2583
"10309","屏東縣屏東市","新興里","976","3115","1628","1487",379,451,352,406,298,272,127,121,54,33,1210,1283
"10309","屏東縣屏東市","明正里","359","908","433","475",94,77,105,83,110,85,61,59,30,24,400,328
"10309","屏東縣屏東市","楠樹里","190","513","257","256",47,58,46,54,71,63,38,37,21,14,223,226
"10309","屏東縣屏東市","橋北里","398","1034","513","521",106,118,107,113,136,127,71,65,34,17,454,440
"10309","屏東縣屏東市","橋南里","723","1867","988","879",157,203,224,238,202,234,106,102,45,29,734,806
"10309","屏東縣屏東市","武廟里","153","399","201","198",29,40,44,41,44,41,38,32,19,7,174,161
"10309","屏東縣屏東市","歸心里","407","1357","711","646",145,152,140,177,141,151,73,69,32,25,531,574
"10309","屏東縣屏東市","民權里","289","712","361","351",65,79,74,79,97,94,40,46,29,11,305,309
"10309","屏東縣屏東市","永光里","423","1197","642","555",123,130,117,153,139,158,85,72,25,26,489,539
"10309","屏東縣屏東市","永城里","1006","2525","1243","1282",220,271,299,308,345,276,188,126,45,63,1097,1044
"10309","屏東縣屏東市","永安里","2941","8176","4072","4104",905,1032,894,931,1140,972,440,336,118,90,3497,3361
"10309","屏東縣屏東市","永昌里","96","234","114","120",17,21,31,26,29,31,15,7,10,2,102,87
"10309","屏東縣屏東市","永順里","174","416","221","195",36,38,42,66,55,49,32,26,9,13,174,192
"10309","屏東縣屏東市","泰安里","283","658","326","332",52,57,61,60,83,80,51,40,34,22,281,259
"10309","屏東縣屏東市","海豐里","308","1018","539","479",118,124,95,104,119,136,70,60,18,22,420,446
"10309","屏東縣屏東市","清溪里","1686","4689","2319","2370",509,597,621,567,554,469,181,118,42,34,1907,1785
"10309","屏東縣屏東市","湖南里","374","1251","655","596",119,138,142,169,123,138,66,82,30,15,480,542
"10309","屏東縣屏東市","湖西里","545","1897","976","921",210,215,220,228,189,215,109,99,34,27,762,784
"10309","屏東縣屏東市","溝美里","1133","3133","1506","1627",302,319,331,310,375,326,198,148,52,40,1258,1143
"10309","屏東縣屏東市","潭墘里","5016","13199","6372","6827",1400,1515,1878,1631,1589,1247,562,357,131,193,5560,4943
"10309","屏東縣屏東市","玉成里","492","1788","935","853",184,198,213,239,191,195,92,86,23,15,703,733
"10309","屏東縣屏東市","瑞光里","3304","8725","4370","4355",877,994,1065,959,1055,859,465,452,145,192,3607,3456
"10309","屏東縣屏東市","空翔里","568","1405","692","713",133,150,157,158,168,144,119,68,38,60,615,580
"10309","屏東縣屏東市","端正里","115","324","169","155",31,33,37,26,42,44,19,26,9,9,138,138
"10309","屏東縣屏東市","維新里","1178","3134","1624","1510",315,355,319,393,353,402,227,185,91,62,1305,1397
"10309","屏東縣屏東市","義勇里","540","1228","586","642",139,159,148,142,184,147,55,31,32,16,558,495
"10309","屏東縣屏東市","興樂里","335","943","432","511",87,70,99,77,110,94,75,48,29,22,400,311
"10309","屏東縣屏東市","華山里","2082","6212","2950","3262",721,684,729,587,754,606,327,229,80,79,2611,2185
"10309","屏東縣屏東市","萬年里","321","800","404","396",86,88,82,89,89,115,60,45,41,20,358,357
"10309","屏東縣屏東市","豐榮里","1169","2960","1438","1522",288,325,346,295,394,342,201,164,66,40,1295,1166
"10309","屏東縣屏東市","豐源里","1627","4699","2212","2487",480,477,590,418,526,443,302,224,88,82,1986,1644
"10309","屏東縣屏東市","豐田里","1805","5135","2495","2640",528,574,624,531,629,500,258,224,66,64,2105,1893
"10309","屏東縣屏東市","金泉里","301","796","385","411",90,79,75,75,95,101,69,48,27,14,356,317
"10309","屏東縣屏東市","長安里","816","2300","1236","1064",228,255,250,334,253,248,126,131,36,42,893,1010
"10309","屏東縣屏東市","長春里","913","2562","1231","1331",247,237,331,247,286,247,147,119,45,35,1056,885
"10309","屏東縣屏東市","頂宅里","186","601","334","267",61,67,56,76,68,94,31,31,15,10,231,278
"10309","屏東縣屏東市","頂柳里","374","1271","667","604",129,148,133,154,157,164,64,55,20,20,503,541
"10309","屏東縣屏東市","鵬程里","278","645","335","310",59,98,65,77,77,58,41,14,18,26,260,273
"10309","屏東縣屏東市","龍華里","782","2704","1352","1352",308,286,288,315,319,294,160,155,54,35,1129,1085
"10309","屏東縣潮州鎮","三共里","2708","7592","3739","3853",833,874,886,891,922,804,443,345,114,92,3198,3006
"10309","屏東縣潮州鎮","三和里","880","2507","1234","1273",252,254,313,309,284,254,148,113,29,22,1026,952
