"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","彰化縣彰化市","三村里","340","1357","701","656",182,178,156,121,167,131,57,63,20,29,582,522
"10309","彰化縣彰化市","下<U+5ECD>里","1967","6529","3193","3336",667,670,732,845,531,585,244,265,55,75,2229,2440
"10309","彰化縣彰化市","中央里","366","883","458","425",105,67,94,86,118,113,80,72,20,42,417,380
"10309","彰化縣彰化市","中山里","345","976","488","488",122,113,89,92,97,118,43,55,21,36,372,414
"10309","彰化縣彰化市","中庄里","992","2989","1480","1509",355,336,361,365,265,326,160,169,26,31,1167,1227
"10309","彰化縣彰化市","中正里","687","1911","930","981",184,181,187,223,177,199,84,115,44,39,676,757
"10309","彰化縣彰化市","五權里","1671","5191","2477","2714",604,586,580,669,423,577,165,185,35,48,1807,2065
"10309","彰化縣彰化市","介壽里","1331","2958","1550","1408",327,278,321,294,433,351,136,201,89,95,1306,1219
"10309","彰化縣彰化市","信義里","435","1184","549","635",73,95,100,141,125,112,69,68,18,41,385,457
"10309","彰化縣彰化市","光南里","642","1779","863","916",195,185,186,217,184,199,77,94,27,39,669,734
"10309","彰化縣彰化市","光復里","322","937","472","465",92,82,78,93,124,96,50,59,14,30,358,360
"10309","彰化縣彰化市","光華里","363","898","448","450",91,64,93,101,107,103,55,75,19,37,365,380
"10309","彰化縣彰化市","南安里","653","2493","1269","1224",325,303,293,278,252,255,94,102,29,31,993,969
"10309","彰化縣彰化市","南<U+7476>里","2972","9166","4434","4732",1106,1009,987,1128,872,1056,379,443,65,100,3409,3736
"10309","彰化縣彰化市","南美里","569","2077","1064","1013",286,270,246,228,230,181,76,89,16,34,854,802
"10309","彰化縣彰化市","南興里","2745","8730","4202","4528",1043,1062,904,1138,793,886,207,271,46,71,2993,3428
"10309","彰化縣彰化市","卦山里","1065","2969","1481","1488",320,303,318,324,309,372,139,163,58,59,1144,1221
"10309","彰化縣彰化市","古夷里","878","2921","1478","1443",395,349,323,323,304,338,104,100,32,33,1158,1143
"10309","彰化縣彰化市","台鳳里","1583","5243","2674","2569",804,661,556,547,613,674,133,171,33,45,2139,2098
"10309","彰化縣彰化市","向陽里","1917","6061","2898","3163",723,716,662,840,497,611,124,129,18,42,2024,2338
"10309","彰化縣彰化市","和調里","1055","3397","1720","1677",405,369,367,380,307,327,143,159,28,49,1250,1284
"10309","彰化縣彰化市","國聖里","829","2932","1505","1427",403,352,347,317,295,302,129,140,26,40,1200,1151
"10309","彰化縣彰化市","大同里","462","1171","597","574",128,86,107,132,154,121,89,97,40,45,518,481
"10309","彰化縣彰化市","大竹里","1139","3920","1958","1962",488,455,450,466,365,397,155,172,32,45,1490,1535
"10309","彰化縣彰化市","安溪里","730","2291","1163","1128",288,271,320,290,194,225,82,77,6,19,890,882
"10309","彰化縣彰化市","富貴里","373","1059","524","535",108,111,101,114,131,115,68,85,34,31,442,456
"10309","彰化縣彰化市","寶<U+5ECD>里","391","1502","804","698",176,161,196,156,150,125,62,63,18,34,602,539
"10309","彰化縣彰化市","崙平里","2198","6425","3092","3333",842,809,683,776,624,763,215,242,46,78,2410,2668
"10309","彰化縣彰化市","平和里","1555","5086","2525","2561",692,636,572,581,514,598,179,197,37,60,1994,2072
"10309","彰化縣彰化市","延和里","1879","6114","3041","3073",780,669,638,717,570,655,181,219,54,59,2223,2319
"10309","彰化縣彰化市","延平里","3392","10646","5199","5447",1226,1150,1063,1368,1001,1154,301,359,72,83,3663,4114
"10309","彰化縣彰化市","建寶里","967","2764","1387","1377",269,236,330,298,251,293,170,239,61,56,1081,1122
"10309","彰化縣彰化市","彰安里","1242","3744","1805","1939",403,406,387,432,369,389,209,251,41,75,1409,1553
"10309","彰化縣彰化市","復興里","1669","5423","2706","2717",644,602,551,585,526,604,204,219,41,72,1966,2082
"10309","彰化縣彰化市","忠孝里","528","1605","793","812",182,163,167,182,154,161,75,101,21,32,599,639
"10309","彰化縣彰化市","忠權里","1277","3970","1944","2026",480,445,413,503,377,428,137,176,34,50,1441,1602
"10309","彰化縣彰化市","快官里","390","1317","669","648",141,188,155,141,152,121,73,65,22,23,543,538
"10309","彰化縣彰化市","成功里","621","1821","890","931",185,196,188,210,189,185,90,125,28,37,680,753
"10309","彰化縣彰化市","文化里","617","1870","891","979",166,164,167,221,165,174,90,115,33,43,621,717
"10309","彰化縣彰化市","新興里","2092","6583","3193","3390",760,684,757,872,531,649,228,301,56,61,2332,2567
"10309","彰化縣彰化市","新華里","682","2154","1060","1094",219,215,244,249,192,212,110,128,31,44,796,848
"10309","彰化縣彰化市","東興里","702","1844","909","935",163,176,188,202,210,199,121,156,42,60,724,793
"10309","彰化縣彰化市","東芳里","1212","4147","2099","2048",537,517,465,446,425,415,167,169,40,64,1634,1611
"10309","彰化縣彰化市","桃源里","877","3137","1691","1446",309,313,328,304,313,300,176,206,284,74,1410,1197
"10309","彰化縣彰化市","民權里","497","1371","706","665",143,137,133,113,192,146,87,109,27,47,582,552
"10309","彰化縣彰化市","民生里","653","2003","954","1049",182,180,167,242,167,187,87,115,30,46,633,770
"10309","彰化縣彰化市","永生里","562","1451","729","722",150,128,150,153,188,178,108,105,35,63,631,627
"10309","彰化縣彰化市","永福里","419","1144","577","567",109,108,119,127,107,106,83,87,23,39,441,467
"10309","彰化縣彰化市","牛埔里","920","3500","1798","1702",450,441,381,366,391,341,146,172,51,77,1419,1397
"10309","彰化縣彰化市","田中里","271","1041","559","482",134,126,118,88,123,105,51,46,20,34,446,399
"10309","彰化縣彰化市","石牌里","364","1433","754","679",170,161,148,141,180,128,85,73,32,49,615,552
"10309","彰化縣彰化市","磚<f3><U+00BF><U+00BE><U+00A8>里","1051","3958","1986","1972",553,531,433,428,408,394,130,153,33,53,1557,1559
"10309","彰化縣彰化市","福安里","405","1201","607","594",146,120,112,125,149,138,74,78,25,40,506,501
"10309","彰化縣彰化市","福山里","2456","8235","4108","4127",1076,1014,988,909,804,947,339,395,75,80,3282,3345
"10309","彰化縣彰化市","福田里","415","1560","809","751",178,207,171,163,188,138,78,79,26,30,641,617
"10309","彰化縣彰化市","竹中里","603","2068","1085","983",262,266,264,197,215,214,97,104,32,33,870,814
"10309","彰化縣彰化市","竹巷里","290","1005","545","460",132,99,116,93,118,97,58,54,17,34,441,377
"10309","彰化縣彰化市","興北里","785","2358","1105","1253",195,211,231,325,164,208,100,108,19,41,709,893
"10309","彰化縣彰化市","茄南里","1015","3592","1801","1791",415,411,440,421,300,322,107,131,38,38,1300,1323
"10309","彰化縣彰化市","茄苳里","309","1127","595","532",166,137,113,105,125,114,39,48,19,20,462,424
"10309","彰化縣彰化市","莿桐里","1172","3638","1811","1827",507,491,404,415,383,420,96,120,24,34,1414,1480
"10309","彰化縣彰化市","華北里","698","1818","867","951",199,194,165,204,201,204,95,127,44,74,704,803
"10309","彰化縣彰化市","華陽里","793","2189","1078","1111",236,210,241,234,221,240,90,187,86,67,874,938
"10309","彰化縣彰化市","萬壽里","406","1077","536","541",134,120,103,99,117,129,80,80,21,35,455,463
"10309","彰化縣彰化市","萬安里","1640","5408","2566","2842",570,551,505,660,432,525,217,260,57,88,1781,2084
"10309","彰化縣彰化市","西勢里","1444","4523","2228","2295",518,479,516,624,394,435,150,162,38,54,1616,1754
"10309","彰化縣彰化市","西安里","1236","3566","1702","1864",367,382,396,467,346,378,165,222,64,83,1338,1532
"10309","彰化縣彰化市","西興里","1360","4084","2067","2017",523,445,492,503,400,429,139,158,29,52,1583,1587
"10309","彰化縣彰化市","長樂里","493","1310","647","663",116,128,106,117,148,143,104,102,30,51,504,541
"10309","彰化縣彰化市","阿夷里","3168","9966","4934","5032",1130,1099,1254,1396,813,982,274,295,58,68,3529,3840
"10309","彰化縣彰化市","陽明里","766","2228","1127","1101",207,175,241,258,233,196,131,163,41,52,853,844
"10309","彰化縣彰化市","香山里","1102","3840","1993","1847",542,444,437,428,375,395,156,165,37,62,1547,1494
"10309","彰化縣彰化市","龍山里","861","2266","1083","1183",222,225,248,303,216,243,133,153,41,48,860,972
"10309","彰化縣鹿港鎮","中興里","211","601","305","296",70,65,43,55,85,81,38,36,13,17,249,254
"10309","彰化縣鹿港鎮","埔崙里","1740","5854","2937","2917",782,782,657,662,537,592,157,208,31,58,2164,2302
"10309","彰化縣鹿港鎮","大有里","467","1420","742","678",143,146,188,147,153,130,84,86,17,38,585,547
"10309","彰化縣鹿港鎮","山崙里","944","3725","1936","1789",428,396,475,394,369,326,198,198,64,85,1534,1399
"10309","彰化縣鹿港鎮","廖厝里","1197","4901","2527","2374",681,598,570,541,468,444,179,187,47,73,1945,1843
"10309","彰化縣鹿港鎮","新宮里","337","1074","564","510",127,105,99,99,145,124,85,73,24,34,480,435
"10309","彰化縣鹿港鎮","景福里","462","1351","676","675",144,149,155,150,156,148,79,71,25,47,559,565
"10309","彰化縣鹿港鎮","東崎里","1689","6324","3260","3064",757,715,789,780,553,519,214,235,72,86,2385,2335
"10309","彰化縣鹿港鎮","東石里","1428","5196","2621","2575",668,627,562,569,510,531,191,217,52,71,1983,2015
"10309","彰化縣鹿港鎮","永安里","1706","5459","2699","2760",651,634,583,650,498,502,241,307,58,93,2031,2186
"10309","彰化縣鹿港鎮","泰興里","470","1546","768","778",160,177,156,140,151,153,85,93,25,29,577,592
"10309","彰化縣鹿港鎮","洋厝里","749","2881","1483","1398",338,320,325,309,317,260,145,172,48,81,1173,1142
