"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","彰化縣彰化市","三村里","340","1357","701","656",185,182,122,156,128,167,68,57,34,20,537,582
"10309","彰化縣彰化市","下<U+5ECD>里","1967","6529","3193","3336",652,667,856,732,604,531,280,244,91,55,2483,2229
"10309","彰化縣彰化市","中央里","366","883","458","425",66,105,87,94,109,118,73,80,47,20,382,417
"10309","彰化縣彰化市","中山里","345","976","488","488",109,122,93,89,118,97,58,43,40,21,418,372
"10309","彰化縣彰化市","中庄里","992","2989","1480","1509",318,355,376,361,327,265,184,160,37,26,1242,1167
"10309","彰化縣彰化市","中正里","687","1911","930","981",183,184,220,187,198,177,122,84,46,44,769,676
"10309","彰化縣彰化市","五權里","1671","5191","2477","2714",585,604,679,580,593,423,202,165,57,35,2116,1807
"10309","彰化縣彰化市","介壽里","1331","2958","1550","1408",259,327,294,321,358,433,210,136,101,89,1222,1306
"10309","彰化縣彰化市","信義里","435","1184","549","635",97,73,140,100,111,125,71,69,47,18,466,385
"10309","彰化縣彰化市","光南里","642","1779","863","916",179,195,220,186,199,184,101,77,44,27,743,669
"10309","彰化縣彰化市","光復里","322","937","472","465",83,92,91,78,97,124,63,50,31,14,365,358
"10309","彰化縣彰化市","光華里","363","898","448","450",66,91,98,93,106,107,73,55,43,19,386,365
"10309","彰化縣彰化市","南安里","653","2493","1269","1224",294,325,285,293,263,252,104,94,37,29,983,993
"10309","彰化縣彰化市","南<U+7476>里","2972","9166","4434","4732",997,1106,1130,987,1071,872,476,379,124,65,3798,3409
"10309","彰化縣彰化市","南美里","569","2077","1064","1013",259,286,247,246,181,230,88,76,40,16,815,854
"10309","彰化縣彰化市","南興里","2745","8730","4202","4528",1055,1043,1129,904,922,793,305,207,80,46,3491,2993
"10309","彰化縣彰化市","卦山里","1065","2969","1481","1488",312,320,308,318,372,309,188,139,66,58,1246,1144
"10309","彰化縣彰化市","古夷里","878","2921","1478","1443",333,395,339,323,340,304,112,104,37,32,1161,1158
"10309","彰化縣彰化市","台鳳里","1583","5243","2674","2569",664,804,532,556,708,613,180,133,55,33,2139,2139
"10309","彰化縣彰化市","向陽里","1917","6061","2898","3163",704,723,862,662,630,497,151,124,47,18,2394,2024
"10309","彰化縣彰化市","和調里","1055","3397","1720","1677",350,405,392,367,329,307,171,143,60,28,1302,1250
"10309","彰化縣彰化市","國聖里","829","2932","1505","1427",341,403,332,347,306,295,146,129,44,26,1169,1200
"10309","彰化縣彰化市","大同里","462","1171","597","574",89,128,131,107,124,154,98,89,50,40,492,518
"10309","彰化縣彰化市","大竹里","1139","3920","1958","1962",443,488,470,450,405,365,179,155,56,32,1553,1490
"10309","彰化縣彰化市","安溪里","730","2291","1163","1128",267,288,298,320,229,194,82,82,21,6,897,890
"10309","彰化縣彰化市","富貴里","373","1059","524","535",114,108,112,101,112,131,88,68,38,34,464,442
"10309","彰化縣彰化市","寶<U+5ECD>里","391","1502","804","698",145,176,167,196,128,150,65,62,38,18,543,602
"10309","彰化縣彰化市","崙平里","2198","6425","3092","3333",772,842,807,683,763,624,273,215,86,46,2701,2410
"10309","彰化縣彰化市","平和里","1555","5086","2525","2561",632,692,581,572,602,514,223,179,68,37,2106,1994
"10309","彰化縣彰化市","延和里","1879","6114","3041","3073",661,780,723,638,674,570,232,181,69,54,2359,2223
"10309","彰化縣彰化市","延平里","3392","10646","5199","5447",1123,1226,1386,1063,1184,1001,387,301,103,72,4183,3663
"10309","彰化縣彰化市","建寶里","967","2764","1387","1377",230,269,301,330,289,251,252,170,64,61,1136,1081
"10309","彰化縣彰化市","彰安里","1242","3744","1805","1939",411,403,429,387,399,369,263,209,82,41,1584,1409
"10309","彰化縣彰化市","復興里","1669","5423","2706","2717",588,644,587,551,612,526,241,204,83,41,2111,1966
"10309","彰化縣彰化市","忠孝里","528","1605","793","812",157,182,192,167,160,154,104,75,37,21,650,599
