"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","新竹市東 區","三民里","2294","6351","2998","3353",627,587,851,645,605,554,286,206,134,90,2503,2082
"10309","新竹市東 區","下竹里","239","642","319","323",63,75,74,75,69,57,58,41,15,13,279,261
"10309","新竹市東 區","中正里","303","778","362","416",88,57,100,72,69,79,25,36,20,9,302,253
"10309","新竹市東 區","仙宮里","627","1521","764","757",152,166,223,243,139,121,54,38,19,14,587,582
"10309","新竹市東 區","仙水里","2009","5876","2904","2972",528,540,923,785,442,419,152,106,52,46,2097,1896
"10309","新竹市東 區","光復里","954","2914","1443","1471",289,307,383,325,261,254,133,100,50,29,1116,1015
"10309","新竹市東 區","光明里","1583","4064","1988","2076",364,356,525,432,431,439,153,128,66,47,1539,1402
"10309","新竹市東 區","光鎮里","1395","4187","2001","2186",490,436,504,512,455,363,241,175,55,47,1745,1533
"10309","新竹市東 區","公園里","1558","4260","2024","2236",327,339,687,487,339,306,164,121,79,51,1596,1304
"10309","新竹市東 區","前溪里","990","3653","1876","1777",427,393,369,422,328,356,165,141,56,38,1345,1350
"10309","新竹市東 區","千甲里","725","2653","1366","1287",306,317,293,276,231,293,112,104,41,31,983,1021
"10309","新竹市東 區","南大里","634","1745","874","871",180,187,194,192,172,182,132,95,44,38,722,694
"10309","新竹市東 區","南市里","427","1038","537","501",110,120,100,105,130,143,73,63,28,15,441,446
"10309","新竹市東 區","南門里","356","805","389","416",88,88,90,100,86,94,67,49,30,11,361,342
"10309","新竹市東 區","埔頂里","1634","4339","2214","2125",474,500,615,614,313,304,150,106,53,48,1605,1572
"10309","新竹市東 區","寺前里","316","872","439","433",94,108,88,91,99,103,62,47,31,18,374,367
"10309","新竹市東 區","建功里","1585","3955","1983","1972",321,370,407,388,463,483,252,139,177,167,1620,1547
"10309","新竹市東 區","建華里","1061","3073","1483","1590",293,289,369,359,296,251,179,129,58,47,1195,1075
"10309","新竹市東 區","復中里","2001","5792","2765","3027",538,510,786,592,534,490,272,211,120,82,2250,1885
"10309","新竹市東 區","復興里","2241","6693","3235","3458",564,602,1039,765,493,417,254,182,66,56,2416,2022
"10309","新竹市東 區","成功里","328","800","383","417",76,76,92,71,105,83,67,60,24,19,364,309
"10309","新竹市東 區","振興里","2513","6614","3248","3366",761,811,861,818,754,637,269,217,104,56,2749,2539
"10309","新竹市東 區","文華里","2113","5916","2820","3096",541,581,841,627,580,484,281,203,82,71,2325,1966
"10309","新竹市東 區","新光里","1422","4101","2050","2051",463,527,422,465,474,426,230,167,98,60,1687,1645
"10309","新竹市東 區","新興里","1264","3511","1751","1760",377,412,377,384,396,378,241,183,91,72,1482,1429
"10309","新竹市東 區","新莊里","2445","6780","3398","3382",744,811,939,879,562,516,237,159,69,61,2551,2426
"10309","新竹市東 區","明湖里","2234","5721","2817","2904",670,652,912,863,498,429,135,100,37,27,2252,2071
"10309","新竹市東 區","東勢里","1133","3254","1620","1634",237,266,560,439,207,232,86,68,34,24,1124,1029
"10309","新竹市東 區","東園里","2483","6654","3295","3359",673,685,1035,822,434,384,192,159,69,53,2403,2103
"10309","新竹市東 區","東山里","1573","4550","2216","2334",369,373,597,450,427,381,238,161,75,63,1706,1428
"10309","新竹市東 區","東門里","298","744","383","361",59,69,80,80,68,78,66,66,18,20,291,313
"10309","新竹市東 區","柴橋里","2161","6016","2956","3060",679,625,850,791,634,607,187,152,52,39,2402,2214
"10309","新竹市東 區","榮光里","155","381","188","193",36,32,35,41,48,47,30,30,15,8,164,158
"10309","新竹市東 區","武功里","2201","5151","2405","2746",400,370,760,677,457,417,277,73,185,184,2079,1721
"10309","新竹市東 區","水源里","1143","4048","2091","1957",445,500,468,450,374,416,204,201,97,63,1588,1630
"10309","新竹市東 區","湖濱里","1402","4236","2093","2143",504,497,494,457,509,474,203,170,43,39,1753,1637
"10309","新竹市東 區","福德里","703","1628","815","813",170,195,162,186,179,201,124,88,59,32,694,702
"10309","新竹市東 區","科園里","2827","8988","4504","4484",866,772,1107,1067,788,819,245,176,97,90,3103,2924
"10309","新竹市東 區","立功里","461","1208","611","597",131,135,141,145,114,115,67,30,22,43,475,468
"10309","新竹市東 區","竹蓮里","360","909","465","444",104,109,93,96,103,89,61,61,22,17,383,372
"10309","新竹市東 區","綠水里","3129","9006","4338","4668",673,597,1471,1098,661,588,304,200,104,85,3213,2568
"10309","新竹市東 區","育賢里","900","1767","954","813",134,161,209,243,169,223,55,64,35,63,602,754
"10309","新竹市東 區","親仁里","869","2301","1066","1235",180,173,328,248,229,191,96,63,39,33,872,708
"10309","新竹市東 區","豐功里","2278","6014","2936","3078",464,415,984,856,490,454,227,128,55,69,2220,1922
