"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","新竹縣竹北市","中興里","2961","7185","3601","3584",577,559,1382,1342,436,387,122,117,47,42,2564,2447
"10309","新竹縣竹北市","北崙里","1669","5183","2509","2674",499,483,819,619,403,371,123,124,32,24,1876,1621
"10309","新竹縣竹北市","北興里","454","1076","534","542",109,128,195,161,71,67,29,25,10,11,414,392
"10309","新竹縣竹北市","十興里","3587","9680","4677","5003",597,506,2080,1799,330,254,150,102,31,17,3188,2678
"10309","新竹縣竹北市","大眉里","717","2049","1044","1005",234,258,249,282,221,196,77,67,38,23,819,826
"10309","新竹縣竹北市","大義里","587","1890","1002","888",225,251,181,240,171,197,98,99,36,25,711,812
"10309","新竹縣竹北市","尚義里","586","1878","1001","877",177,193,198,268,147,192,109,91,54,44,685,788
"10309","新竹縣竹北市","崇義里","734","2325","1228","1097",249,270,250,315,202,237,112,103,56,29,869,954
"10309","新竹縣竹北市","文化里","1527","4447","2147","2300",380,344,770,622,330,288,101,81,36,18,1617,1353
"10309","新竹縣竹北市","斗崙里","5153","14023","6801","7222",1282,1227,2477,2095,859,779,251,201,66,55,4935,4357
"10309","新竹縣竹北市","新國里","1960","5925","3011","2914",681,694,743,762,584,558,224,210,75,43,2307,2267
"10309","新竹縣竹北市","新崙里","2434","7006","3616","3390",821,919,893,962,670,600,226,191,64,44,2674,2716
"10309","新竹縣竹北市","新庄里","382","1288","674","614",151,161,141,172,134,128,65,65,24,17,515,543
"10309","新竹縣竹北市","新港里","427","1451","744","707",171,172,156,173,123,152,83,75,37,20,570,592
"10309","新竹縣竹北市","新社里","2792","8590","4268","4322",975,951,1139,1067,805,736,351,296,92,72,3362,3122
"10309","新竹縣竹北市","東平里","5022","11995","5938","6057",914,946,2453,2256,474,403,133,110,31,31,4005,3746
"10309","新竹縣竹北市","東海里","1328","3729","1944","1785",472,469,370,435,374,447,177,170,84,51,1477,1572
"10309","新竹縣竹北市","東興里","2096","5237","2621","2616",547,578,849,812,360,348,160,115,47,38,1963,1891
"10309","新竹縣竹北市","泰和里","2328","7017","3543","3474",763,807,987,931,615,539,230,201,79,58,2674,2536
"10309","新竹縣竹北市","溪州里","866","2816","1444","1372",291,338,330,351,301,300,120,120,51,36,1093,1145
