"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","桃園縣桃園市","三元里","1568","4241","2089","2152",484,424,478,551,402,448,111,145,61,41,1536,1609
"10309","桃園縣桃園市","三民里","1846","4951","2392","2559",560,509,429,583,558,619,153,196,65,71,1765,1978
"10309","桃園縣桃園市","中信里","2367","6286","3112","3174",748,709,778,830,593,751,166,177,53,42,2338,2509
"10309","桃園縣桃園市","中原里","1932","5262","2503","2759",565,549,705,844,451,512,104,127,22,29,1847,2061
"10309","桃園縣桃園市","中和里","620","1614","816","798",181,148,161,156,206,182,83,125,33,47,664,658
"10309","桃園縣桃園市","中埔里","777","2575","1339","1236",322,305,321,286,275,237,110,127,27,45,1055,1000
"10309","桃園縣桃園市","中寧里","2846","6773","3235","3538",693,724,873,1073,583,677,122,172,32,30,2303,2676
"10309","桃園縣桃園市","中山里","2724","7462","3637","3825",865,787,890,1039,688,801,154,222,51,41,2648,2890
"10309","桃園縣桃園市","中平里","1989","5091","2479","2612",606,587,576,655,538,625,146,178,54,45,1920,2090
"10309","桃園縣桃園市","中德里","2630","7684","3867","3817",926,863,949,980,711,784,186,236,69,62,2841,2925
"10309","桃園縣桃園市","中成里","1765","4999","2509","2490",642,568,597,595,523,583,157,196,85,79,2004,2021
"10309","桃園縣桃園市","中正里","2107","5509","2739","2770",640,595,696,671,522,654,225,279,74,74,2157,2273
"10309","桃園縣桃園市","中泰里","1784","4931","2369","2562",466,459,640,805,419,505,95,110,40,18,1660,1897
"10309","桃園縣桃園市","中聖里","2592","6410","2935","3475",581,629,780,1117,540,653,118,209,63,32,2082,2640
"10309","桃園縣桃園市","中興里","2246","6762","3336","3426",755,641,740,858,613,688,266,316,57,71,2431,2574
"10309","桃園縣桃園市","中路里","1706","4508","2144","2364",553,567,504,590,440,548,127,162,38,38,1662,1905
"10309","桃園縣桃園市","信光里","2823","7595","3751","3844",910,879,957,998,665,784,220,259,44,48,2796,2968
"10309","桃園縣桃園市","光興里","2220","6364","3078","3286",668,616,613,805,581,665,245,288,75,74,2182,2448
