"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","桃園縣桃園市","三元里","1568","4241","2089","2152",418,484,555,478,470,402,154,111,43,61,1640,1536
"10309","桃園縣桃園市","三民里","1846","4951","2392","2559",515,560,573,429,636,558,219,153,76,65,2019,1765
"10309","桃園縣桃園市","中信里","2367","6286","3112","3174",686,748,839,778,779,593,199,166,46,53,2549,2338
"10309","桃園縣桃園市","中原里","1932","5262","2503","2759",552,565,826,705,557,451,143,104,31,22,2109,1847
"10309","桃園縣桃園市","中和里","620","1614","816","798",156,181,151,161,188,206,127,83,52,33,674,664
"10309","桃園縣桃園市","中埔里","777","2575","1339","1236",307,322,284,321,249,275,133,110,48,27,1021,1055
"10309","桃園縣桃園市","中寧里","2846","6773","3235","3538",711,693,1073,873,711,583,189,122,37,32,2721,2303
"10309","桃園縣桃園市","中山里","2724","7462","3637","3825",787,865,1025,890,845,688,251,154,45,51,2953,2648
"10309","桃園縣桃園市","中平里","1989","5091","2479","2612",574,606,650,576,649,538,196,146,54,54,2123,1920
"10309","桃園縣桃園市","中德里","2630","7684","3867","3817",858,926,995,949,802,711,264,186,71,69,2990,2841
"10309","桃園縣桃園市","中成里","1765","4999","2509","2490",542,642,607,597,593,523,213,157,90,85,2045,2004
"10309","桃園縣桃園市","中正里","2107","5509","2739","2770",576,640,682,696,659,522,299,225,88,74,2304,2157
"10309","桃園縣桃園市","中泰里","1784","4931","2369","2562",467,466,788,640,537,419,119,95,22,40,1933,1660
"10309","桃園縣桃園市","中聖里","2592","6410","2935","3475",614,581,1101,780,714,540,217,118,39,63,2685,2082
"10309","桃園縣桃園市","中興里","2246","6762","3336","3426",631,755,876,740,700,613,337,266,81,57,2625,2431
"10309","桃園縣桃園市","中路里","1706","4508","2144","2364",540,553,607,504,554,440,187,127,41,38,1929,1662
"10309","桃園縣桃園市","信光里","2823","7595","3751","3844",869,910,999,957,820,665,282,220,59,44,3029,2796
"10309","桃園縣桃園市","光興里","2220","6364","3078","3286",608,668,786,613,688,581,315,245,89,75,2486,2182
"10309","桃園縣桃園市","北埔里","1922","5266","2527","2739",495,521,902,752,464,382,134,96,30,19,2025,1770
"10309","桃園縣桃園市","北門里","739","1857","915","942",197,181,200,225,236,228,127,94,52,27,812,755
"10309","桃園縣桃園市","南埔里","1904","5221","2495","2726",551,555,772,634,554,453,181,127,33,29,2091,1798
"10309","桃園縣桃園市","南華里","622","1746","843","903",151,169,213,175,186,173,114,96,38,30,702,643
"10309","桃園縣桃園市","南門里","2535","7097","3452","3645",700,777,898,814,804,653,374,261,116,94,2892,2599
"10309","桃園縣桃園市","同安里","3413","9107","4387","4720",978,970,1359,1126,1023,807,280,213,43,45,3683,3161
