"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","澎湖縣馬公市","中央里","253","623","316","307",51,61,68,77,67,75,51,44,29,15,266,272
"10309","澎湖縣馬公市","中興里","396","903","458","445",103,127,99,120,86,90,54,24,33,31,375,392
"10309","澎湖縣馬公市","五德里","144","288","160","128",36,59,29,26,25,35,14,15,12,12,116,147
"10309","澎湖縣馬公市","井垵里","138","450","225","225",37,52,65,55,35,47,18,15,22,12,177,181
"10309","澎湖縣馬公市","光復里","915","2344","1122","1222",246,272,271,221,280,265,170,110,61,54,1028,922
"10309","澎湖縣馬公市","光明里","567","1384","692","692",161,191,137,143,156,147,100,59,49,49,603,589
"10309","澎湖縣馬公市","光榮里","1865","4728","2291","2437",536,559,558,548,578,455,301,169,104,143,2077,1874
"10309","澎湖縣馬公市","光華里","309","825","465","360",98,154,85,105,39,35,15,28,9,6,246,328
"10309","澎湖縣馬公市","前寮里","384","1002","532","470",124,174,105,108,97,111,36,36,25,21,387,450
"10309","澎湖縣馬公市","啟明里","401","1075","552","523",99,115,127,127,112,132,78,66,27,19,443,459
"10309","澎湖縣馬公市","安宅里","231","650","341","309",65,77,67,81,66,76,40,37,22,19,260,290
"10309","澎湖縣馬公市","山水里","644","1946","1018","928",205,215,247,261,183,211,94,98,58,40,787,825
"10309","澎湖縣馬公市","復興里","260","471","278","193",52,107,41,61,38,57,31,20,14,11,176,256
"10309","澎湖縣馬公市","朝陽里","2270","6443","3177","3266",765,844,735,645,750,676,320,246,112,79,2682,2490
"10309","澎湖縣馬公市","東文里","1257","3694","1826","1868",447,458,499,392,379,336,118,103,36,35,1479,1324
"10309","澎湖縣馬公市","東衛里","783","2190","1143","1047",228,259,259,298,219,217,116,92,40,36,862,902
"10309","澎湖縣馬公市","案山里","832","1902","1062","840",218,337,171,237,195,222,93,94,51,43,728,933
"10309","澎湖縣馬公市","桶盤里","113","347","183","164",39,32,43,53,18,31,12,12,3,1,115,129
"10309","澎湖縣馬公市","烏崁里","374","1075","564","511",107,122,101,144,117,112,57,65,45,27,427,470
"10309","澎湖縣馬公市","石泉里","1021","2902","1456","1446",371,386,407,396,291,251,78,69,31,36,1178,1138
"10309","澎湖縣馬公市","興仁里","393","1060","553","507",117,138,127,150,96,113,50,40,22,11,412,452
"10309","澎湖縣馬公市","菜園里","156","489","258","231",44,63,53,68,51,60,28,27,17,8,193,226
"10309","澎湖縣馬公市","虎井里","296","810","447","363",75,89,75,107,69,111,59,63,38,19,316,389
"10309","澎湖縣馬公市","西文里","1361","3684","1873","1811",416,473,454,370,343,330,141,130,62,58,1416,1361
"10309","澎湖縣馬公市","西衛里","3047","6149","3119","3030",1080,1004,600,571,486,470,190,140,58,44,2414,2229
"10309","澎湖縣馬公市","重光里","560","1658","817","841",175,201,211,218,187,168,71,62,49,26,693,675
"10309","澎湖縣馬公市","重慶里","464","1173","594","579",120,123,115,143,132,125,103,94,34,27,504,512
"10309","澎湖縣馬公市","鎖港里","952","2713","1416","1297",281,318,315,346,278,347,146,117,76,39,1096,1167
"10309","澎湖縣馬公市","鐵線里","224","610","303","307",76,67,87,78,47,57,29,26,19,10,258,238
"10309","澎湖縣馬公市","長安里","258","645","319","326",65,72,66,66,70,73,50,43,30,19,281,273
"10309","澎湖縣馬公市","陽明里","1105","2936","1448","1488",327,302,343,306,327,315,196,171,64,56,1257,1150
"10309","澎湖縣馬公市","風櫃里","493","1550","816","734",189,171,174,223,143,151,76,82,36,30,618,657
