"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","臺中市中 區","中華里","1021","2221","1126","1095",171,190,288,263,230,249,115,121,46,30,850,853
"10309","臺中市中 區","光復里","1069","2750","1344","1406",232,236,314,251,314,321,159,135,69,46,1088,989
"10309","臺中市中 區","公園里","824","2013","973","1040",155,148,261,188,218,226,116,118,52,33,802,713
"10309","臺中市中 區","大墩里","1064","3041","1477","1564",247,245,331,290,320,279,162,165,63,45,1123,1024
"10309","臺中市中 區","大誠里","1151","2760","1404","1356",240,258,316,321,306,316,146,135,58,50,1066,1080
"10309","臺中市中 區","柳川里","1031","2344","1210","1134",182,199,277,261,258,307,127,116,53,35,897,918
"10309","臺中市中 區","綠川里","879","2252","1143","1109",182,197,261,221,236,248,126,116,51,39,856,821
"10309","臺中市中 區","繼光里","831","2026","979","1047",174,153,239,202,234,213,122,106,30,44,799,718
"10309","臺中市東 區","十甲里","1746","4980","2456","2524",632,667,653,626,545,464,197,167,50,27,2077,1951
"10309","臺中市東 區","合作里","1852","4943","2469","2474",450,499,628,597,487,428,368,158,99,207,2032,1889
"10309","臺中市東 區","富仁里","1967","4791","2404","2387",465,498,522,543,581,594,313,160,165,197,2046,1992
"10309","臺中市東 區","富台里","887","1996","1030","966",168,245,206,235,265,238,136,64,66,83,841,865
"10309","臺中市東 區","干城里","1238","2708","1335","1373",268,292,319,323,341,302,214,162,77,67,1219,1146
"10309","臺中市東 區","振興里","1419","3762","1906","1856",438,462,423,414,413,445,217,202,89,51,1580,1574
"10309","臺中市東 區","新庄里","1631","3760","1981","1779",318,351,406,401,446,506,193,189,97,87,1460,1534
"10309","臺中市東 區","旱溪里","948","2852","1479","1373",291,322,329,374,303,319,180,146,67,43,1170,1204
"10309","臺中市東 區","東信里","3463","10256","5032","5224",1284,1300,1363,1269,1098,938,368,333,103,54,4216,3894
"10309","臺中市東 區","東勢里","1249","3257","1659","1598",371,349,335,351,377,379,185,158,77,73,1345,1310
"10309","臺中市東 區","東南里","1597","4392","2162","2230",459,545,555,488,529,469,251,161,68,57,1862,1720
"10309","臺中市東 區","東橋里","1426","4280","2071","2209",502,515,478,477,516,418,244,215,66,39,1806,1664
"10309","臺中市東 區","東興里","1210","3353","1657","1696",360,397,374,367,399,351,213,178,76,58,1422,1351
"10309","臺中市東 區","東英里","2615","7598","3763","3835",905,998,1013,921,901,722,253,222,78,59,3150,2922
"10309","臺中市東 區","東門里","2215","7301","3657","3644",955,965,864,837,816,742,290,254,61,42,2986,2840
"10309","臺中市東 區","樂成里","873","2596","1291","1305",271,255,326,333,275,288,119,110,49,28,1040,1014
"10309","臺中市東 區","泉源里","749","1920","1019","901",191,236,186,221,210,263,107,107,66,46,760,873
"10309","臺中市南 區","南和里","3197","7523","3757","3766",793,792,1219,1104,767,768,224,168,41,48,3044,2880
"10309","臺中市南 區","南門里","1642","4029","1968","2061",476,469,517,438,512,452,218,185,78,59,1801,1603
"10309","臺中市南 區","和平里","1817","4456","2095","2361",548,495,718,601,420,362,168,130,33,24,1887,1612
"10309","臺中市南 區","國光里","1807","4621","2249","2372",483,506,528,515,613,504,306,224,102,64,2032,1813
"10309","臺中市南 區","城隍里","1598","4014","1981","2033",442,464,399,448,491,456,266,212,142,90,1740,1670
"10309","臺中市南 區","崇倫里","2469","6524","3151","3373",682,712,1085,887,609,486,210,157,69,43,2655,2285
"10309","臺中市南 區","工學里","2789","7249","3438","3811",868,785,1191,954,679,552,226,157,61,36,3025,2484
"10309","臺中市南 區","平和里","1473","4143","2062","2081",476,520,509,475,477,435,224,178,76,43,1762,1651
"10309","臺中市南 區","德義里","1300","3176","1551","1625",383,359,409,355,399,355,149,134,56,43,1396,1246
"10309","臺中市南 區","新榮里","2163","5252","2406","2846",546,492,902,666,554,400,156,106,53,39,2211,1703
"10309","臺中市南 區","樹德里","3324","8600","4164","4436",886,852,1560,1365,769,628,245,206,57,45,3517,3096
"10309","臺中市南 區","樹義里","4272","12429","5988","6441",1318,1262,2063,1651,1087,919,362,271,83,74,4913,4177
"10309","臺中市南 區","永和里","2052","5170","2509","2661",639,661,743,652,577,438,200,164,43,28,2202,1943
"10309","臺中市南 區","永興里","3186","8445","4027","4418",905,907,1419,1180,845,630,249,169,49,45,3467,2931
"10309","臺中市南 區","江川里","1287","3272","1574","1698",366,395,456,366,395,341,164,137,57,25,1438,1264
"10309","臺中市南 區","福平里","2188","6124","2949","3175",666,710,837,772,698,557,287,211,85,53,2573,2303
"10309","臺中市南 區","福興里","1648","4487","2197","2290",460,482,577,584,505,444,254,184,82,50,1878,1744
"10309","臺中市南 區","福順里","2411","6117","2955","3162",653,692,980,814,646,507,249,198,60,62,2588,2273
"10309","臺中市南 區","積善里","1139","3056","1508","1548",364,391,320,321,427,334,184,138,54,39,1349,1223
