"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","臺北市松山區","三民里","2922","7161","3293","3868",598,568,983,773,883,707,598,405,188,174,3250,2627
"10309","臺北市松山區","中崙里","1707","4561","2126","2435",348,348,739,490,456,403,238,180,89,57,1870,1478
"10309","臺北市松山區","中正里","3866","10762","5017","5745",840,749,1686,1174,1081,871,510,422,164,122,4281,3338
"10309","臺北市松山區","中華里","2532","6909","3229","3680",547,517,889,705,807,680,451,354,176,126,2870,2382
"10309","臺北市松山區","介壽里","1760","4900","2323","2577",377,377,665,550,546,414,317,271,99,82,2004,1694
"10309","臺北市松山區","吉仁里","1576","4401","2105","2296",381,343,610,464,499,413,265,221,94,67,1849,1508
"10309","臺北市松山區","吉祥里","3391","8777","4109","4668",860,861,1083,847,1181,1022,574,458,218,163,3916,3351
"10309","臺北市松山區","安平里","3532","8834","4239","4595",944,910,1071,941,1113,992,534,426,240,179,3902,3448
"10309","臺北市松山區","富泰里","2056","4949","2185","2764",423,385,782,510,622,447,371,250,114,102,2312,1694
"10309","臺北市松山區","富錦里","2122","5434","2523","2911",489,514,707,532,745,551,388,304,106,90,2435,1991
"10309","臺北市松山區","復勢里","2546","6672","3089","3583",585,576,938,693,775,621,460,324,139,114,2897,2328
"10309","臺北市松山區","復建里","1808","4855","2319","2536",375,391,753,583,505,432,269,198,84,72,1986,1676
"10309","臺北市松山區","復源里","1292","3555","1676","1879",277,293,510,380,402,345,198,141,80,57,1467,1216
"10309","臺北市松山區","復盛里","2558","6850","3264","3586",639,674,839,713,844,706,474,347,167,146,2963,2586
"10309","臺北市松山區","慈祐里","4031","8108","4090","4018",797,820,1047,1026,990,1058,462,398,172,204,3468,3506
"10309","臺北市松山區","敦化里","2599","7584","3619","3965",655,606,991,806,890,763,437,316,187,131,3160,2622
"10309","臺北市松山區","新東里","2001","5185","2470","2715",472,496,690,567,649,527,356,282,108,63,2275,1935
"10309","臺北市松山區","新益里","1848","4866","2321","2545",498,508,620,557,595,491,359,267,120,80,2192,1903
"10309","臺北市松山區","新聚里","3310","8375","3915","4460",850,892,1079,820,1119,867,517,386,186,132,3751,3097
"10309","臺北市松山區","東光里","2995","7523","3584","3939",650,683,911,730,1003,868,556,431,232,196,3352,2908
"10309","臺北市松山區","東勢里","1821","4754","2224","2530",388,387,647,475,560,461,309,267,134,97,2038,1687
"10309","臺北市松山區","東昌里","1032","2911","1383","1528",233,230,388,269,316,254,195,173,63,53,1195,979
"10309","臺北市松山區","東榮里","3038","8634","4037","4597",713,691,1125,845,1050,862,620,471,211,144,3719,3013
