"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","臺南市新營區","三仙里","1260","3456","1692","1764",370,354,371,348,387,376,251,225,102,55,1481,1358
"10309","臺南市新營區","中營里","513","1465","735","730",152,159,169,149,170,160,83,78,25,23,599,569
"10309","臺南市新營區","五興里","437","1115","589","526",99,107,106,132,109,171,79,74,55,27,448,511
"10309","臺南市新營區","南紙里","1501","4304","2123","2181",512,545,519,488,524,434,170,139,39,36,1764,1642
"10309","臺南市新營區","南興里","1175","2907","1445","1462",296,306,318,311,353,334,196,176,94,85,1257,1212
"10309","臺南市新營區","嘉芳里","716","2070","1030","1040",262,270,217,197,238,255,93,75,41,21,851,818
"10309","臺南市新營區","土庫里","573","1762","913","849",177,200,162,192,187,212,103,111,64,36,693,751
"10309","臺南市新營區","埤寮里","691","2075","1051","1024",205,238,203,218,240,246,109,103,67,42,824,847
"10309","臺南市新營區","大宏里","1374","3726","1837","1889",395,393,361,337,423,412,263,224,116,77,1558,1443
"10309","臺南市新營區","太北里","706","2027","1045","982",246,276,197,226,212,235,106,93,59,17,820,847
"10309","臺南市新營區","太南里","687","1759","935","824",182,204,159,213,180,235,109,104,54,31,684,787
"10309","臺南市新營區","好平里","365","933","490","443",95,87,88,83,98,136,66,69,43,34,390,409
"10309","臺南市新營區","姑爺里","257","645","348","297",49,66,46,61,63,101,43,36,47,30,248,294
"10309","臺南市新營區","延平里","569","1336","699","637",116,143,131,136,151,188,112,109,45,27,555,603
"10309","臺南市新營區","忠政里","2118","5714","2773","2941",643,655,569,544,734,640,381,304,121,72,2448,2215
"10309","臺南市新營區","新北里","1921","5501","2706","2795",631,704,641,576,671,567,265,191,59,35,2267,2073
"10309","臺南市新營區","新南里","1941","5488","2659","2829",646,624,729,617,619,503,186,134,55,38,2235,1916
"10309","臺南市新營區","新東里","2534","7724","3749","3975",773,838,1121,914,740,583,204,154,56,36,2894,2525
"10309","臺南市新營區","民榮里","2047","5348","2581","2767",614,629,661,568,638,524,282,228,107,61,2302,2010
"10309","臺南市新營區","民權里","1208","3040","1501","1539",269,277,336,273,336,320,209,210,95,77,1245,1157
"10309","臺南市新營區","民生里","1426","4009","2003","2006",452,468,430,409,460,459,234,193,102,49,1678,1578
"10309","臺南市新營區","永生里","454","1169","578","591",109,107,97,109,153,136,83,88,45,26,487,466
"10309","臺南市新營區","王公里","1740","5160","2550","2610",583,618,519,545,586,513,291,231,98,62,2077,1969
"10309","臺南市新營區","興安里","201","456","234","222",49,45,42,44,61,66,29,35,13,10,194,200
"10309","臺南市新營區","興業里","730","1751","792","959",209,189,194,157,240,172,117,87,59,33,819,638
"10309","臺南市新營區","舊<U+5ECD>里","148","349","192","157",37,34,21,40,36,66,27,21,20,7,141,168
"10309","臺南市新營區","角帶里","206","489","255","234",62,56,43,61,42,68,27,23,25,14,199,222
"10309","臺南市新營區","護鎮里","600","1646","852","794",161,213,160,171,194,221,88,81,55,24,658,710
"10309","臺南市新營區","鐵線里","336","843","441","402",84,91,69,81,85,112,58,61,45,34,341,379
"10309","臺南市鹽水區","三生里","164","396","207","189",22,38,42,44,40,46,35,27,20,12,159,167
"10309","臺南市鹽水區","下中里","362","877","482","395",62,81,75,96,93,143,55,54,57,37,342,411
"10309","臺南市鹽水區","下林里","171","449","240","209",35,38,43,51,29,60,46,35,25,17,178,201
"10309","臺南市鹽水區","中境里","227","587","305","282",50,62,58,54,60,76,44,44,27,16,239,252
"10309","臺南市鹽水區","南港里","398","1052","563","489",92,117,92,110,96,137,92,79,41,38,413,481
"10309","臺南市鹽水區","大莊里","238","598","308","290",56,61,49,59,67,79,48,44,30,20,250,263
"10309","臺南市鹽水區","大豐里","157","389","213","176",32,42,32,41,37,61,25,31,30,13,156,188
"10309","臺南市鹽水區","孫厝里","214","504","262","242",37,37,42,67,47,74,47,37,32,11,205,226
"10309","臺南市鹽水區","岸內里","1535","4287","2160","2127",495,504,436,468,466,444,267,189,83,55,1747,1660
"10309","臺南市鹽水區","後宅里","309","758","429","329",66,55,63,107,54,136,53,53,39,23,275,374
"10309","臺南市鹽水區","桐寮里","140","351","190","161",24,45,37,46,40,48,21,14,9,9,131,162
"10309","臺南市鹽水區","橋南里","1610","4352","2174","2178",495,580,475,507,548,452,216,191,75,40,1809,1770
"10309","臺南市鹽水區","歡雅里","770","1978","1040","938",186,216,188,223,211,275,126,119,80,37,791,870
"10309","臺南市鹽水區","武廟里","276","632","320","312",61,66,53,50,59,97,45,43,32,13,250,269
"10309","臺南市鹽水區","水仙里","159","383","199","184",31,40,36,30,48,60,38,34,16,9,169,173
"10309","臺南市鹽水區","水正里","354","902","451","451",82,86,102,109,89,87,76,57,35,27,384,366
"10309","臺南市鹽水區","水秀里","648","1795","931","864",205,202,191,207,183,235,99,97,56,26,734,767
"10309","臺南市鹽水區","汫水里","446","1115","642","473",86,105,80,131,105,182,76,84,59,53,406,555
"10309","臺南市鹽水區","河南里","237","600","337","263",50,54,53,80,52,89,46,52,26,16,227,291
"10309","臺南市鹽水區","田寮里","116","269","150","119",17,21,27,46,29,43,19,21,16,9,108,140
"10309","臺南市鹽水區","福得里","295","753","393","360",70,86,68,86,85,85,49,35,27,13,299,305
"10309","臺南市鹽水區","竹埔里","336","904","471","433",78,99,74,99,79,124,82,74,69,26,382,422
"10309","臺南市鹽水區","義稠里","370","1013","524","489",131,135,104,106,108,125,34,44,26,14,403,424
"10309","臺南市鹽水區","舊營里","348","936","508","428",85,98,109,122,76,121,56,46,22,12,348,399
"10309","臺南市鹽水區","飯店里","176","468","255","213",35,49,55,68,39,70,37,24,20,10,186,221
"10309","臺南市白河區","仙草里","714","1585","887","698",70,100,110,155,163,194,185,105,94,241,622,795
"10309","臺南市白河區","內角里","332","816","447","369",67,79,62,90,83,114,78,84,45,22,335,389
"10309","臺南市白河區","六溪里","238","631","348","283",48,46,45,98,65,101,53,51,29,14,240,310
"10309","臺南市白河區","外角里","618","1662","859","803",174,176,146,178,185,209,121,104,58,36,684,703
"10309","臺南市白河區","大林里","272","692","386","306",46,74,69,79,69,112,53,55,31,25,268,345
"10309","臺南市白河區","大竹里","586","1740","908","832",173,201,146,177,169,226,116,102,81,56,685,762
"10309","臺南市白河區","崁頭里","188","468","236","232",46,31,45,68,41,62,33,30,31,17,196,208
"10309","臺南市白河區","崎內里","317","859","481","378",58,90,60,99,80,125,78,70,52,38,328,422
"10309","臺南市白河區","庄內里","682","1934","1003","931",191,255,185,181,222,250,120,109,61,38,779,833
"10309","臺南市白河區","廣安里","274","771","409","362",56,62,77,91,75,102,62,64,41,26,311,345
"10309","臺南市白河區","昇安里","538","1643","854","789",174,158,151,188,163,187,117,111,46,37,651,681
