"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","臺東縣臺東市","中山里","397","1087","529","558",80,102,127,100,102,112,73,53,34,19,416,386
"10309","臺東縣臺東市","中心里","1348","4181","2032","2149",395,388,479,379,428,382,195,146,61,52,1558,1347
"10309","臺東縣臺東市","中正里","386","933","460","473",98,110,96,88,133,120,74,72,38,20,439,410
"10309","臺東縣臺東市","中華里","735","1941","995","946",210,225,197,262,224,210,135,93,43,32,809,822
"10309","臺東縣臺東市","仁愛里","342","838","429","409",102,107,68,95,108,126,58,39,23,10,359,377
"10309","臺東縣臺東市","光明里","1315","3457","1611","1846",317,286,522,412,324,235,138,93,34,38,1335,1064
"10309","臺東縣臺東市","卑南里","1203","3109","1569","1540",319,345,406,439,344,332,174,132,56,30,1299,1278
"10309","臺東縣臺東市","南榮里","1113","3118","1671","1447",294,356,370,417,316,316,150,119,56,128,1186,1336
"10309","臺東縣臺東市","南王里","1117","3057","1571","1486",305,380,329,363,387,325,175,135,53,55,1249,1258
"10309","臺東縣臺東市","四維里","285","725","389","336",71,82,75,98,70,88,58,41,8,9,282,318
"10309","臺東縣臺東市","大同里","380","943","470","473",83,102,114,97,100,102,68,55,20,17,385,373
"10309","臺東縣臺東市","富岡里","685","1768","937","831",171,191,180,228,195,238,130,97,36,37,712,791
"10309","臺東縣臺東市","富豐里","392","1005","527","478",104,120,109,146,90,103,67,56,28,15,398,440
"10309","臺東縣臺東市","寶桑里","412","1046","507","539",114,103,108,137,135,120,70,41,22,16,449,417
"10309","臺東縣臺東市","岩灣里","947","2171","1158","1013",202,250,284,332,218,242,113,74,24,80,841,978
"10309","臺東縣臺東市","康樂里","573","1556","825","731",155,175,188,211,150,181,67,74,26,22,586,663
"10309","臺東縣臺東市","建和里","609","1641","877","764",164,196,164,196,173,199,99,102,45,34,645,727
"10309","臺東縣臺東市","建國里","623","1551","794","757",147,171,167,222,176,180,115,87,39,22,644,682
"10309","臺東縣臺東市","建業里","572","1493","771","722",120,169,177,178,162,167,113,78,43,30,615,622
"10309","臺東縣臺東市","建興里","409","1116","586","530",106,132,114,131,122,134,86,71,30,20,458,488
"10309","臺東縣臺東市","建農里","828","2286","1197","1089",216,295,267,345,236,199,124,54,25,68,868,961
"10309","臺東縣臺東市","強國里","268","730","379","351",81,94,71,87,87,104,47,34,19,9,305,328
"10309","臺東縣臺東市","復國里","312","769","399","370",81,80,76,102,94,88,49,39,18,16,318,325
"10309","臺東縣臺東市","復興里","221","529","269","260",66,62,48,61,58,63,39,28,13,13,224,227
"10309","臺東縣臺東市","成功里","414","975","485","490",89,102,117,104,102,115,75,57,25,14,408,392
"10309","臺東縣臺東市","文化里","443","1324","657","667",106,106,140,118,103,124,50,30,19,18,418,396
"10309","臺東縣臺東市","新園里","745","1866","986","880",171,187,213,284,205,188,95,87,33,27,717,773
"10309","臺東縣臺東市","新生里","2935","7581","3736","3845",877,950,886,882,1008,798,381,300,112,105,3264,3035
"10309","臺東縣臺東市","新興里","517","1232","617","615",118,116,126,160,148,143,91,74,28,32,511,525
"10309","臺東縣臺東市","東海里","1399","3842","1886","1956",376,397,451,350,434,371,183,148,55,49,1499,1315
"10309","臺東縣臺東市","民族里","725","2452","1172","1280",182,163,303,191,164,152,102,91,32,29,783,626
"10309","臺東縣臺東市","民權里","404","1018","523","495",112,145,103,115,106,121,68,49,35,16,424,446
"10309","臺東縣臺東市","民生里","1424","3561","1764","1797",379,440,396,405,522,445,224,167,68,53,1589,1510
"10309","臺東縣臺東市","永樂里","820","2571","1302","1269",240,255,324,299,239,243,93,93,40,25,936,915
"10309","臺東縣臺東市","知本里","554","1566","773","793",193,165,171,190,184,173,85,68,32,28,665,624
"10309","臺東縣臺東市","自強里","1794","5391","2644","2747",514,565,587,471,586,520,268,196,100,79,2055,1831
"10309","臺東縣臺東市","興國里","390","1136","542","594",91,88,156,115,88,88,62,43,29,9,426,343
"10309","臺東縣臺東市","豐原里","457","1413","752","661",151,173,141,154,125,189,85,77,42,28,544,621
"10309","臺東縣臺東市","豐年里","1173","2995","1553","1442",325,367,345,432,352,289,174,132,37,64,1233,1284
"10309","臺東縣臺東市","豐榮里","3479","9382","4601","4781",1068,1099,1193,1114,1098,951,436,293,112,115,3907,3572
"10309","臺東縣臺東市","豐樂里","567","1856","935","921",201,219,199,202,205,206,82,75,30,26,717,728
"10309","臺東縣臺東市","豐田里","859","2412","1233","1179",253,292,273,312,272,223,130,105,37,52,965,984
"10309","臺東縣臺東市","豐谷里","2015","5957","3017","2940",678,748,658,704,657,616,326,237,65,79,2384,2384
"10309","臺東縣臺東市","豐里里","926","2775","1481","1294",284,332,279,349,284,311,147,121,67,45,1061,1158
"10309","臺東縣臺東市","鐵花里","210","497","253","244",33,54,59,63,59,56,43,29,20,14,214,216
"10309","臺東縣臺東市","馬蘭里","1267","4140","1973","2167",332,368,476,360,340,315,192,128,63,51,1403,1222
"10309","臺東縣成功鎮","三仙里","633","1679","920","759",154,193,152,234,190,222,104,88,41,26,641,763
"10309","臺東縣成功鎮","三民里","1140","3281","1704","1577",331,383,350,408,367,386,189,177,71,49,1308,1403
"10309","臺東縣成功鎮","信義里","781","2160","1170","990",188,203,200,321,246,294,164,131,78,60,876,1009
"10309","臺東縣成功鎮","博愛里","329","748","418","330",48,69,58,106,91,120,72,71,26,11,295,377
"10309","臺東縣成功鎮","和平里","359","900","478","422",71,90,74,117,134,111,72,78,36,21,387,417
"10309","臺東縣成功鎮","忠仁里","953","2755","1449","1306",263,290,280,347,316,330,138,168,66,46,1063,1181
"10309","臺東縣成功鎮","忠孝里","487","1168","605","563",113,121,104,160,134,147,95,84,46,19,492,531
"10309","臺東縣成功鎮","忠智里","777","2315","1200","1115",196,247,247,283,273,244,145,148,40,41,901,963
"10309","臺東縣關山鎮","中福里","356","1030","523","507",94,117,84,102,134,117,65,73,30,20,407,429
"10309","臺東縣關山鎮","德高里","695","1969","1052","917",165,206,185,252,178,217,158,137,70,50,756,862
"10309","臺東縣關山鎮","新福里","393","1113","613","500",95,141,98,143,109,126,69,58,30,17,401,485
"10309","臺東縣關山鎮","月眉里","337","853","466","387",66,92,88,100,86,123,53,50,40,14,333,379
"10309","臺東縣關山鎮","豐泉里","474","1433","734","699",136,148,156,153,148,162,77,66,33,30,550,559
"10309","臺東縣關山鎮","里<U+58E0>里","762","2140","1054","1086",208,227,212,228,260,231,149,108,45,48,874,842
"10309","臺東縣關山鎮","電光里","231","650","386","264",46,76,49,86,60,91,44,56,15,11,214,320
"10309","臺東縣卑南鄉","初鹿村","544","1560","832","728",140,173,154,190,153,194,102,80,43,37,592,674
"10309","臺東縣卑南鄉","利吉村","187","488","265","223",46,58,34,53,60,84,34,28,24,18,198,241
"10309","臺東縣卑南鄉","利嘉村","453","1251","648","603",148,160,128,139,146,152,53,61,28,18,503,530
"10309","臺東縣卑南鄉","嘉豐村","214","596","331","265",53,74,45,79,64,79,41,34,19,11,222,277
"10309","臺東縣卑南鄉","太平村","1312","3479","1793","1686",385,436,383,470,416,352,164,106,49,138,1397,1502
"10309","臺東縣卑南鄉","富山村","253","632","340","292",60,68,63,84,60,82,37,39,16,15,236,288
"10309","臺東縣卑南鄉","富源村","165","415","241","174",30,47,24,55,47,74,36,31,18,7,155,214
"10309","臺東縣卑南鄉","明峰村","513","1378","747","631",126,138,117,197,152,164,97,102,40,34,532,635
"10309","臺東縣卑南鄉","東興村","495","1400","741","659",147,167,179,201,134,151,59,54,18,22,537,595
"10309","臺東縣卑南鄉","泰安村","500","1324","714","610",142,159,153,185,127,142,63,44,17,25,502,555
"10309","臺東縣卑南鄉","溫泉村","572","1391","746","645",125,126,125,179,158,183,95,105,41,27,544,620
"10309","臺東縣卑南鄉","美農村","485","1184","657","527",95,107,107,193,111,151,88,79,44,30,445,560
"10309","臺東縣卑南鄉","賓朗村","947","2639","1401","1238",250,283,263,334,269,324,190,148,51,58,1023,1147
"10309","臺東縣鹿野鄉","永安村","630","1716","945","771",152,195,164,242,180,233,108,92,45,36,649,798
"10309","臺東縣鹿野鄉","瑞和村","279","764","407","357",69,82,74,112,77,95,57,37,21,15,298,341
"10309","臺東縣鹿野鄉","瑞源村","393","1096","554","542",122,109,101,125,119,125,75,70,27,23,444,452
"10309","臺東縣鹿野鄉","瑞豐村","405","1023","570","453",81,100,91,172,94,132,78,71,56,24,400,499
"10309","臺東縣鹿野鄉","瑞隆村","423","1072","590","482",80,113,102,154,114,133,79,72,28,36,403,508
"10309","臺東縣鹿野鄉","鹿野村","492","1273","660","613",114,116,127,170,141,158,106,77,37,29,525,550
"10309","臺東縣鹿野鄉","龍田村","483","1285","697","588",109,142,115,173,133,152,91,94,46,30,494,591
"10309","臺東縣池上鄉","大坡村","150","377","203","174",27,41,30,36,44,70,26,25,19,4,146,176
"10309","臺東縣池上鄉","大埔村","343","946","469","477",90,90,105,106,115,111,70,77,27,12,407,396
"10309","臺東縣池上鄉","富興村","175","457","269","188",31,44,41,60,49,74,28,37,8,9,157,224
"10309","臺東縣池上鄉","慶豐村","279","795","419","376",62,82,88,106,82,100,63,49,27,23,322,360
"10309","臺東縣池上鄉","振興村","200","508","278","230",48,49,52,72,48,57,36,37,11,10,195,225
"10309","臺東縣池上鄉","新興村","377","1004","551","453",82,101,83,149,101,125,73,56,36,37,375,468
"10309","臺東縣池上鄉","福原村","876","2320","1160","1160",226,230,239,271,279,247,166,126,77,57,987,931
"10309","臺東縣池上鄉","福文村","555","1424","746","678",119,124,143,203,145,171,107,75,51,45,565,618
"10309","臺東縣池上鄉","萬安村","151","389","211","178",33,36,27,51,42,43,30,33,18,12,150,175
"10309","臺東縣池上鄉","錦園村","162","402","225","177",29,26,32,60,39,70,33,29,17,17,150,202
"10309","臺東縣東河鄉","北源村","850","1850","1131","719",126,203,125,351,170,294,147,118,67,56,635,1022
"10309","臺東縣東河鄉","尚德村","137","324","180","144",19,29,36,47,40,48,18,20,7,12,120,156
"10309","臺東縣東河鄉","東河村","449","1147","624","523",96,93,109,208,113,129,87,73,40,37,445,540
"10309","臺東縣東河鄉","泰源村","531","1514","824","690",127,169,138,216,163,194,114,82,48,35,590,696
"10309","臺東縣東河鄉","興昌村","500","1088","563","525",63,58,103,155,128,160,111,78,44,40,449,491
"10309","臺東縣東河鄉","都蘭村","1009","2532","1351","1181",218,257,214,344,294,344,198,150,87,58,1011,1153
"10309","臺東縣東河鄉","隆昌村","270","595","315","280",48,41,47,84,71,96,60,41,30,19,256,281
"10309","臺東縣長濱鄉","三間村","547","1473","841","632",90,120,114,231,139,217,148,118,55,47,546,733
"10309","臺東縣長濱鄉","寧埔村","580","1485","864","621",121,165,103,251,190,220,112,122,42,27,568,785
"10309","臺東縣長濱鄉","忠勇村","236","660","402","258",44,66,45,114,59,89,50,58,19,11,217,338
"10309","臺東縣長濱鄉","樟原村","305","773","427","346",48,54,65,124,68,112,83,58,33,25,297,373
"10309","臺東縣長濱鄉","竹湖村","395","1065","587","478",77,115,89,168,125,150,99,68,40,28,430,529
"10309","臺東縣長濱鄉","長濱村","873","2333","1297","1036",186,227,188,351,243,303,196,166,74,59,887,1106
"10309","臺東縣太麻里鄉","三和村","271","735","386","349",74,67,75,93,76,94,51,54,20,11,296,319
"10309","臺東縣太麻里鄉","北里村","303","657","384","273",53,79,45,74,69,110,34,44,22,14,223,321
"10309","臺東縣太麻里鄉","多良村","466","1055","537","518",100,119,112,146,135,119,56,40,28,13,431,437
"10309","臺東縣太麻里鄉","大王村","857","2113","1124","989",200,252,193,242,257,269,131,112,56,44,837,919
"10309","臺東縣太麻里鄉","泰和村","690","1723","889","834",168,184,174,208,193,190,118,113,51,31,704,726
"10309","臺東縣太麻里鄉","美和村","534","1540","803","737",158,169,168,187,154,177,98,84,28,22,606,639
"10309","臺東縣太麻里鄉","華源村","308","727","398","329",56,55,64,128,62,73,72,68,30,22,284,346
"10309","臺東縣太麻里鄉","金崙村","821","2053","1085","968",195,218,222,285,220,251,100,77,36,47,773,878
"10309","臺東縣太麻里鄉","香蘭村","357","911","503","408",88,96,73,117,94,115,77,66,27,26,359,420
"10309","臺東縣大武鄉","南興村","291","696","351","345",74,63,81,94,98,102,34,28,13,11,300,298
"10309","臺東縣大武鄉","大武村","657","1734","907","827",170,204,168,225,222,203,92,65,24,24,676,721
"10309","臺東縣大武鄉","大竹村","357","934","482","452",81,112,94,102,127,134,51,39,25,11,378,398
"10309","臺東縣大武鄉","大鳥村","524","1422","764","658",162,187,137,174,136,181,63,50,22,11,520,603
"10309","臺東縣大武鄉","尚武村","698","1837","941","896",174,191,231,239,219,249,105,97,42,29,771,805
"10309","臺東縣綠島鄉","中寮村","357","1223","652","571",159,181,150,171,101,153,42,46,24,7,476,558
"10309","臺東縣綠島鄉","公<U+8218>村","289","994","537","457",109,147,132,147,79,109,33,27,19,13,372,443
"10309","臺東縣綠島鄉","南寮村","452","1599","819","780",211,221,211,237,151,164,62,67,26,8,661,697
"10309","臺東縣海端鄉","利稻村","81","333","166","167",46,47,36,40,22,19,11,4,3,3,118,113
"10309","臺東縣海端鄉","加拿村","157","669","379","290",73,90,68,104,50,69,13,12,9,3,213,278
"10309","臺東縣海端鄉","崁頂村","198","740","413","327",86,95,60,113,60,83,24,20,5,2,235,313
"10309","臺東縣海端鄉","廣原村","251","1022","530","492",142,132,100,136,75,96,34,18,9,7,360,389
"10309","臺東縣海端鄉","海端村","309","1260","674","586",158,167,121,184,102,115,35,20,18,15,434,501
"10309","臺東縣海端鄉","霧鹿村","98","354","188","166",49,51,32,44,24,36,19,16,5,1,129,148
"10309","臺東縣延平鄉","桃源村","361","1265","666","599",141,170,139,192,117,124,36,18,22,10,455,514
"10309","臺東縣延平鄉","武陵村","229","738","405","333",67,93,82,128,65,73,26,18,7,5,247,317
"10309","臺東縣延平鄉","永康村","113","355","195","160",40,36,44,68,19,34,15,7,4,1,122,146
"10309","臺東縣延平鄉","紅葉村","144","519","286","233",60,68,55,81,45,52,19,14,5,4,184,219
"10309","臺東縣延平鄉","鸞山村","225","737","396","341",74,86,83,109,69,79,26,25,15,5,267,304
"10309","臺東縣金峰鄉","嘉蘭村","468","1534","787","747",177,183,164,206,150,150,45,42,26,12,562,593
"10309","臺東縣金峰鄉","新興村","172","625","327","298",76,86,72,79,65,60,12,13,11,3,236,241
"10309","臺東縣金峰鄉","正興村","210","707","356","351",88,69,79,88,71,92,22,16,16,8,276,273
"10309","臺東縣金峰鄉","歷坵村","128","397","205","192",40,42,48,48,43,53,18,15,6,5,155,163
"10309","臺東縣金峰鄉","賓茂村","133","394","210","184",38,40,41,53,49,47,12,14,13,5,153,159
"10309","臺東縣達仁鄉","南田村","155","373","192","181",46,51,50,56,46,53,11,4,6,4,159,168
"10309","臺東縣達仁鄉","台<U+5742>村","273","732","391","341",78,93,57,96,100,95,38,30,12,7,285,321
"10309","臺東縣達仁鄉","土<U+5742>村","340","1018","567","451",115,118,114,184,95,109,36,37,8,5,368,453
"10309","臺東縣達仁鄉","安朔村","339","776","419","357",83,100,71,114,108,104,33,22,13,10,308,350
"10309","臺東縣達仁鄉","新化村","150","387","218","169",32,42,42,57,40,60,20,21,8,2,142,182
"10309","臺東縣達仁鄉","森永村","207","471","254","217",57,46,43,73,53,68,23,23,14,9,190,219
"10309","臺東縣蘭嶼鄉","朗島村","314","894","455","439",149,132,94,89,69,69,21,20,13,10,346,320
