"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","花蓮縣花蓮市","主信里","312","766","353","413",68,80,65,99,72,84,44,44,10,18,259,325
"10309","花蓮縣花蓮市","主力里","1303","3392","1613","1779",354,332,315,450,312,391,154,190,52,45,1187,1408
"10309","花蓮縣花蓮市","主勤里","434","1176","569","607",105,95,116,157,101,111,67,68,15,23,404,454
"10309","花蓮縣花蓮市","主和里","1396","3828","1880","1948",388,371,397,458,363,420,167,220,55,59,1370,1528
"10309","花蓮縣花蓮市","主商里","314","873","411","462",75,78,72,121,77,72,35,39,14,21,273,331
"10309","花蓮縣花蓮市","主學里","869","2418","1156","1262",233,253,250,307,223,231,96,128,26,36,828,955
"10309","花蓮縣花蓮市","主安里","1127","3152","1499","1653",297,356,325,374,273,346,144,159,40,43,1079,1278
"10309","花蓮縣花蓮市","主工里","285","792","377","415",79,94,74,87,68,80,37,33,11,23,269,317
"10309","花蓮縣花蓮市","主權里","2463","6677","3175","3502",734,719,718,912,586,775,255,307,64,69,2357,2782
"10309","花蓮縣花蓮市","主睦里","286","714","337","377",73,71,79,91,78,72,32,36,10,15,272,285
"10309","花蓮縣花蓮市","主義里","220","578","298","280",63,49,54,65,78,67,31,27,7,18,233,226
"10309","花蓮縣花蓮市","主計里","408","1040","502","538",105,103,119,129,113,117,37,62,14,15,388,426
"10309","花蓮縣花蓮市","主農里","1570","4546","2206","2340",506,509,490,596,370,469,182,186,40,43,1588,1803
"10309","花蓮縣花蓮市","國光里","606","1549","789","760",145,142,148,179,170,168,65,96,39,27,567,612
"10309","花蓮縣花蓮市","國威里","1199","2530","1294","1236",196,192,293,322,307,230,96,112,63,43,955,899
"10309","花蓮縣花蓮市","國安里","279","649","315","334",56,61,58,85,67,77,30,29,13,18,224,270
"10309","花蓮縣花蓮市","國富里","2353","6027","2924","3103",732,745,607,656,702,822,256,329,91,75,2388,2627
"10309","花蓮縣花蓮市","國強里","703","2084","1037","1047",233,215,276,282,194,212,73,83,17,21,793,813
"10309","花蓮縣花蓮市","國慶里","437","1181","607","574",136,117,150,142,121,117,58,67,20,21,485,464
"10309","花蓮縣花蓮市","國治里","545","1403","648","755",102,105,121,218,100,122,57,61,23,23,403,529
"10309","花蓮縣花蓮市","國盛里","2001","4260","2056","2204",513,517,502,568,424,577,132,133,46,41,1617,1836
"10309","花蓮縣花蓮市","國福里","606","1701","894","807",221,167,224,204,196,191,67,69,29,22,737,653
"10309","花蓮縣花蓮市","國聯里","1367","3044","1481","1563",417,383,326,368,362,411,122,141,32,47,1259,1350
"10309","花蓮縣花蓮市","國興里","1804","4715","2330","2385",497,477,624,676,456,513,142,207,62,36,1781,1909
"10309","花蓮縣花蓮市","國華里","1108","3033","1468","1565",252,258,312,389,272,262,142,168,45,61,1023,1138
"10309","花蓮縣花蓮市","國裕里","1918","4961","2417","2544",620,587,482,539,574,687,158,203,69,79,1903,2095
"10309","花蓮縣花蓮市","國防里","419","1074","501","573",100,113,124,139,111,110,30,59,14,22,379,443
"10309","花蓮縣花蓮市","國風里","1550","4515","2065","2450",362,414,426,599,349,430,200,251,58,73,1395,1767
"10309","花蓮縣花蓮市","國魂里","999","2657","1278","1379",251,248,265,336,259,280,104,132,47,60,926,1056
"10309","花蓮縣花蓮市","民主里","275","654","321","333",58,43,67,91,67,74,19,33,9,12,220,253
"10309","花蓮縣花蓮市","民享里","1418","3402","1687","1715",402,357,430,494,338,357,98,139,59,35,1327,1382
"10309","花蓮縣花蓮市","民勤里","1681","4427","2054","2373",348,422,457,634,346,383,84,176,85,59,1320,1674
"10309","花蓮縣花蓮市","民孝里","1666","4149","2070","2079",512,473,515,465,418,475,109,226,103,55,1657,1694
"10309","花蓮縣花蓮市","民德里","796","1964","922","1042",175,204,190,263,192,215,54,87,37,43,648,812
"10309","花蓮縣花蓮市","民心里","418","1066","576","490",135,117,137,108,134,126,48,45,21,12,475,408
"10309","花蓮縣花蓮市","民意里","973","2511","1410","1101",264,228,247,256,292,272,107,115,303,57,1213,928
"10309","花蓮縣花蓮市","民政里","1718","4377","2039","2338",427,456,469,623,431,495,158,239,86,41,1571,1854
"10309","花蓮縣花蓮市","民族里","247","636","304","332",48,55,56,77,86,65,17,21,13,13,220,231
"10309","花蓮縣花蓮市","民有里","283","833","420","413",70,76,116,96,91,83,42,39,6,16,325,310
"10309","花蓮縣花蓮市","民樂里","319","735","355","380",79,64,71,109,88,94,27,39,11,11,276,317
"10309","花蓮縣花蓮市","民權里","211","535","258","277",39,46,57,68,50,56,19,23,18,14,183,207
