"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","花蓮縣花蓮市","主信里","312","766","353","413",78,68,98,65,85,72,45,44,22,10,328,259
"10309","花蓮縣花蓮市","主力里","1303","3392","1613","1779",316,354,461,315,392,312,198,154,57,52,1424,1187
"10309","花蓮縣花蓮市","主勤里","434","1176","569","607",91,105,163,116,106,101,73,67,26,15,459,404
"10309","花蓮縣花蓮市","主和里","1396","3828","1880","1948",366,388,464,397,420,363,235,167,70,55,1555,1370
"10309","花蓮縣花蓮市","主商里","314","873","411","462",79,75,120,72,68,77,47,35,22,14,336,273
"10309","花蓮縣花蓮市","主學里","869","2418","1156","1262",245,233,317,250,239,223,134,96,41,26,976,828
"10309","花蓮縣花蓮市","主安里","1127","3152","1499","1653",350,297,387,325,345,273,175,144,47,40,1304,1079
"10309","花蓮縣花蓮市","主工里","285","792","377","415",89,79,92,74,80,68,35,37,25,11,321,269
"10309","花蓮縣花蓮市","主權里","2463","6677","3175","3502",704,734,923,718,771,586,350,255,75,64,2823,2357
"10309","花蓮縣花蓮市","主睦里","286","714","337","377",76,73,86,79,74,78,40,32,17,10,293,272
"10309","花蓮縣花蓮市","主義里","220","578","298","280",46,63,68,54,66,78,28,31,21,7,229,233
"10309","花蓮縣花蓮市","主計里","408","1040","502","538",105,105,127,119,123,113,64,37,16,14,435,388
"10309","花蓮縣花蓮市","主農里","1570","4546","2206","2340",497,506,601,490,476,370,204,182,50,40,1828,1588
"10309","花蓮縣花蓮市","國光里","606","1549","789","760",138,145,184,148,170,170,101,65,30,39,623,567
"10309","花蓮縣花蓮市","國威里","1199","2530","1294","1236",187,196,315,293,246,307,119,96,44,63,911,955
"10309","花蓮縣花蓮市","國安里","279","649","315","334",61,56,85,58,73,67,33,30,21,13,273,224
"10309","花蓮縣花蓮市","國富里","2353","6027","2924","3103",752,732,639,607,851,702,349,256,86,91,2677,2388
"10309","花蓮縣花蓮市","國強里","703","2084","1037","1047",222,233,278,276,215,194,89,73,26,17,830,793
"10309","花蓮縣花蓮市","國慶里","437","1181","607","574",113,136,142,150,122,121,70,58,23,20,470,485
"10309","花蓮縣花蓮市","國治里","545","1403","648","755",116,102,210,121,126,100,65,57,27,23,544,403
"10309","花蓮縣花蓮市","國盛里","2001","4260","2056","2204",518,513,548,502,603,424,152,132,49,46,1870,1617
"10309","花蓮縣花蓮市","國福里","606","1701","894","807",174,221,197,224,196,196,75,67,27,29,669,737
"10309","花蓮縣花蓮市","國聯里","1367","3044","1481","1563",372,417,364,326,415,362,159,122,57,32,1367,1259
"10309","花蓮縣花蓮市","國興里","1804","4715","2330","2385",484,497,662,624,541,456,224,142,46,62,1957,1781
"10309","花蓮縣花蓮市","國華里","1108","3033","1468","1565",253,252,395,312,268,272,171,142,70,45,1157,1023
"10309","花蓮縣花蓮市","國裕里","1918","4961","2417","2544",572,620,550,482,690,574,221,158,88,69,2121,1903
"10309","花蓮縣花蓮市","國防里","419","1074","501","573",118,100,138,124,116,111,59,30,26,14,457,379
"10309","花蓮縣花蓮市","國風里","1550","4515","2065","2450",405,362,616,426,420,349,276,200,81,58,1798,1395
"10309","花蓮縣花蓮市","國魂里","999","2657","1278","1379",228,251,353,265,278,259,136,104,71,47,1066,926
"10309","花蓮縣花蓮市","民主里","275","654","321","333",45,58,87,67,75,67,37,19,15,9,259,220
"10309","花蓮縣花蓮市","民享里","1418","3402","1687","1715",356,402,480,430,381,338,154,98,37,59,1408,1327
"10309","花蓮縣花蓮市","民勤里","1681","4427","2054","2373",413,348,635,457,412,346,174,84,71,85,1705,1320
"10309","花蓮縣花蓮市","民孝里","1666","4149","2070","2079",447,512,476,515,486,418,235,109,68,103,1712,1657
"10309","花蓮縣花蓮市","民德里","796","1964","922","1042",202,175,259,190,225,192,90,54,48,37,824,648
"10309","花蓮縣花蓮市","民心里","418","1066","576","490",116,135,108,137,128,134,50,48,12,21,414,475
"10309","花蓮縣花蓮市","民意里","973","2511","1410","1101",228,264,249,247,278,292,125,107,61,303,941,1213
"10309","花蓮縣花蓮市","民政里","1718","4377","2039","2338",448,427,614,469,520,431,259,158,45,86,1886,1571
"10309","花蓮縣花蓮市","民族里","247","636","304","332",56,48,74,56,71,86,20,17,15,13,236,220
"10309","花蓮縣花蓮市","民有里","283","833","420","413",76,70,97,116,85,91,39,42,18,6,315,325
"10309","花蓮縣花蓮市","民樂里","319","735","355","380",64,79,112,71,95,88,41,27,14,11,326,276
"10309","花蓮縣花蓮市","民權里","211","535","258","277",49,39,64,57,60,50,22,19,19,18,214,183
"10309","花蓮縣花蓮市","民治里","32","67","41","26",6,9,2,5,8,16,2,6,4,3,22,39
"10309","花蓮縣花蓮市","民生里","642","1556","738","818",149,129,201,135,167,153,78,64,42,44,637,525
"10309","花蓮縣花蓮市","民立里","741","1812","883","929",163,179,243,160,213,182,95,94,40,49,754,664
"10309","花蓮縣花蓮市","民運里","933","2296","1135","1161",228,258,291,261,281,251,150,103,61,61,1011,934
"10309","花蓮縣鳳林鎮","北林里","255","648","361","287",52,62,46,75,71,93,54,51,30,35,253,316
"10309","花蓮縣鳳林鎮","南平里","268","635","353","282",39,44,44,76,78,89,61,76,33,29,255,314
"10309","花蓮縣鳳林鎮","大榮里","551","1448","778","670",118,123,136,189,155,191,109,105,54,42,572,650
"10309","花蓮縣鳳林鎮","山興里","261","550","298","252",39,38,50,67,54,94,52,46,26,19,221,264
