"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣苗栗市","上苗里","778","2033","1007","1026",177,200,208,212,232,221,127,129,44,61,788,823
"10309","苗栗縣苗栗市","中苗里","540","1423","692","731",130,141,155,170,131,137,55,86,37,36,508,570
"10309","苗栗縣苗栗市","勝利里","1503","4611","2308","2303",576,567,498,458,507,543,222,251,99,106,1902,1925
"10309","苗栗縣苗栗市","北苗里","2158","6254","3076","3178",714,716,656,705,642,719,292,296,90,82,2394,2518
"10309","苗栗縣苗栗市","南勢里","807","2420","1274","1146",310,276,285,228,266,250,90,116,65,43,1016,913
"10309","苗栗縣苗栗市","嘉新里","1090","3586","1797","1789",461,434,361,328,426,436,158,186,53,67,1459,1451
"10309","苗栗縣苗栗市","嘉盛里","1351","4333","2175","2158",543,496,471,454,429,435,240,256,82,87,1765,1728
"10309","苗栗縣苗栗市","大同里","263","673","319","354",63,75,69,71,77,79,39,54,17,28,265,307
"10309","苗栗縣苗栗市","建功里","1886","5347","2580","2767",580,571,512,642,467,596,258,271,64,92,1881,2172
"10309","苗栗縣苗栗市","恭敬里","602","1637","797","840",195,189,176,169,164,201,88,96,22,31,645,686
"10309","苗栗縣苗栗市","文山里","1382","4478","2271","2207",520,498,484,496,417,439,192,192,41,56,1654,1681
"10309","苗栗縣苗栗市","文聖里","1250","4092","2088","2004",506,437,514,524,353,371,122,154,35,40,1530,1526
"10309","苗栗縣苗栗市","新川里","519","1473","783","690",160,146,176,151,172,128,97,78,33,44,638,547
"10309","苗栗縣苗栗市","新苗里","376","1034","519","515",123,131,95,103,139,120,63,78,29,28,449,460
"10309","苗栗縣苗栗市","新英里","693","2088","1084","1004",261,239,230,214,228,222,85,67,41,43,845,785
"10309","苗栗縣苗栗市","水源里","1048","2891","1426","1465",383,360,300,320,322,336,112,132,32,49,1149,1197
