"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣苗栗市","上苗里","778","2033","1007","1026",204,177,202,208,221,232,144,127,66,44,837,788
"10309","苗栗縣苗栗市","中苗里","540","1423","692","731",143,130,167,155,140,131,94,55,37,37,581,508
"10309","苗栗縣苗栗市","勝利里","1503","4611","2308","2303",570,576,465,498,550,507,261,222,121,99,1967,1902
"10309","苗栗縣苗栗市","北苗里","2158","6254","3076","3178",697,714,708,656,732,642,317,292,102,90,2556,2394
"10309","苗栗縣苗栗市","南勢里","807","2420","1274","1146",283,310,223,285,260,266,115,90,50,65,931,1016
"10309","苗栗縣苗栗市","嘉新里","1090","3586","1797","1789",434,461,327,361,445,426,199,158,72,53,1477,1459
"10309","苗栗縣苗栗市","嘉盛里","1351","4333","2175","2158",481,543,461,471,450,429,261,240,101,82,1754,1765
"10309","苗栗縣苗栗市","大同里","263","673","319","354",74,63,70,69,77,77,56,39,33,17,310,265
"10309","苗栗縣苗栗市","建功里","1886","5347","2580","2767",558,580,639,512,625,467,289,258,100,64,2211,1881
"10309","苗栗縣苗栗市","恭敬里","602","1637","797","840",180,195,180,176,203,164,97,88,37,22,697,645
"10309","苗栗縣苗栗市","文山里","1382","4478","2271","2207",483,520,509,484,447,417,208,192,63,41,1710,1654
"10309","苗栗縣苗栗市","文聖里","1250","4092","2088","2004",432,506,521,514,388,353,166,122,47,35,1554,1530
"10309","苗栗縣苗栗市","新川里","519","1473","783","690",147,160,145,176,137,172,77,97,51,33,557,638
"10309","苗栗縣苗栗市","新苗里","376","1034","519","515",129,123,103,95,122,139,78,63,33,29,465,449
"10309","苗栗縣苗栗市","新英里","693","2088","1084","1004",228,261,216,230,235,228,68,85,49,41,796,845
"10309","苗栗縣苗栗市","水源里","1048","2891","1426","1465",351,383,326,300,343,322,143,112,55,32,1218,1149
"10309","苗栗縣苗栗市","清華里","1337","3743","1828","1915",421,426,365,327,464,406,266,216,110,92,1626,1467
"10309","苗栗縣苗栗市","玉清里","945","2768","1386","1382",236,286,283,292,293,291,216,182,80,56,1108,1107
"10309","苗栗縣苗栗市","玉苗里","414","1157","571","586",118,135,123,116,122,117,87,76,31,20,481,464
"10309","苗栗縣苗栗市","玉華里","1427","4536","2283","2253",446,502,472,504,464,452,329,242,99,71,1810,1771
"10309","苗栗縣苗栗市","福安里","1380","4192","2094","2098",469,540,501,519,468,357,165,140,65,48,1668,1604
"10309","苗栗縣苗栗市","福星里","1650","4982","2453","2529",565,580,557,576,556,471,246,225,94,66,2018,1918
"10309","苗栗縣苗栗市","福麗里","2196","6289","3155","3134",697,690,677,693,684,647,357,300,98,88,2513,2418
"10309","苗栗縣苗栗市","綠苗里","413","1092","569","523",86,104,117,118,116,138,86,76,41,25,446,461
"10309","苗栗縣苗栗市","維新里","1422","4629","2363","2266",457,578,433,502,538,473,315,264,129,93,1872,1910
"10309","苗栗縣苗栗市","維祥里","1362","4168","2067","2101",459,494,454,453,462,419,277,185,105,84,1757,1635
"10309","苗栗縣苗栗市","青苗里","487","1284","612","672",118,116,134,127,151,140,109,80,39,27,551,490
"10309","苗栗縣苗栗市","高苗里","1256","3723","1909","1814",391,463,435,436,403,382,173,139,60,66,1462,1486
"10309","苗栗縣苑裡鎮","上<U+8218>里","561","2032","1084","948",247,258,186,225,191,263,109,112,54,38,787,896
"10309","苗栗縣苑裡鎮","中正里","751","2631","1375","1256",295,336,261,283,251,280,144,119,52,41,1003,1059
"10309","苗栗縣苑裡鎮","南勢里","295","881","479","402",91,99,74,90,83,128,51,61,42,23,341,401
"10309","苗栗縣苑裡鎮","客庄里","1522","4958","2484","2474",572,638,528,479,547,496,211,206,99,51,1957,1870
"10309","苗栗縣苑裡鎮","山柑里","487","1773","945","828",203,225,187,224,153,168,80,74,29,17,652,708
"10309","苗栗縣苑裡鎮","山<U+811A>里","553","1729","887","842",196,179,152,194,173,207,128,113,58,41,707,734
"10309","苗栗縣苑裡鎮","房裡里","813","2885","1514","1371",328,360,266,305,290,325,127,137,74,43,1085,1170
"10309","苗栗縣苑裡鎮","新復里","485","1673","844","829",216,187,189,202,138,187,77,86,39,31,659,693
"10309","苗栗縣苑裡鎮","水坡里","249","813","440","373",76,89,73,98,66,84,45,59,35,25,295,355
"10309","苗栗縣苑裡鎮","泰田里","590","2062","1101","961",244,277,211,222,182,228,99,115,37,30,773,872
"10309","苗栗縣苑裡鎮","海岸里","421","1400","729","671",155,144,145,184,119,139,74,65,41,32,534,564
"10309","苗栗縣苑裡鎮","玉田里","613","2160","1134","1026",252,299,220,258,206,251,93,86,49,27,820,921
"10309","苗栗縣苑裡鎮","田心里","625","2240","1164","1076",250,281,280,293,184,198,95,97,33,20,842,889
"10309","苗栗縣苑裡鎮","石鎮里","205","686","370","316",69,60,73,94,58,79,48,47,16,22,264,302
"10309","苗栗縣苑裡鎮","社苓里","787","2858","1471","1387",342,323,308,344,246,295,142,132,57,40,1095,1134
"10309","苗栗縣苑裡鎮","福田里","426","1525","806","719",170,188,142,189,141,167,88,100,57,32,598,676
"10309","苗栗縣苑裡鎮","舊社里","680","2297","1163","1134",292,263,243,272,211,225,132,112,52,37,930,909
"10309","苗栗縣苑裡鎮","苑北里","366","1074","559","515",120,137,94,118,110,123,74,60,27,17,425,455
"10309","苗栗縣苑裡鎮","苑南里","672","2073","1021","1052",242,229,210,217,223,213,124,109,63,40,862,808
"10309","苗栗縣苑裡鎮","苑坑里","368","1175","626","549",135,122,112,150,109,131,56,72,34,25,446,500
"10309","苗栗縣苑裡鎮","苑東里","852","2733","1381","1352",302,325,312,329,262,261,139,91,58,37,1073,1043
"10309","苗栗縣苑裡鎮","苑港里","437","1562","823","739",174,184,153,198,140,160,82,81,42,18,591,641
"10309","苗栗縣苑裡鎮","蕉埔里","345","1013","544","469",96,101,89,141,93,104,70,87,31,23,379,456
"10309","苗栗縣苑裡鎮","西勢里","725","2472","1272","1200",277,319,265,260,266,243,107,99,33,26,948,947
"10309","苗栗縣苑裡鎮","西平里","531","1900","955","945",230,234,190,198,181,190,82,79,43,39,726,740
"10309","苗栗縣通霄鎮","五北里","515","1804","959","845",204,236,148,209,159,198,111,103,64,41,686,787
"10309","苗栗縣通霄鎮","五南里","497","1643","844","799",175,196,163,182,181,180,86,92,44,29,649,679
"10309","苗栗縣通霄鎮","內島里","295","956","516","440",130,113,89,118,81,122,43,54,30,26,373,433
"10309","苗栗縣通霄鎮","內湖里","664","2355","1245","1110",265,281,224,253,212,267,126,126,65,49,892,976
"10309","苗栗縣通霄鎮","南和里","339","957","528","429",75,85,86,112,94,124,67,81,44,37,366,439
"10309","苗栗縣通霄鎮","圳頭里","271","892","480","412",98,98,65,93,83,122,57,64,35,23,338,400
"10309","苗栗縣通霄鎮","坪頂里","457","1471","789","682",144,142,143,190,111,166,97,110,52,52,547,660
"10309","苗栗縣通霄鎮","城北里","293","852","446","406",90,79,82,107,70,109,70,54,35,35,347,384
"10309","苗栗縣通霄鎮","城南里","391","1107","625","482",82,90,85,164,109,160,81,89,57,34,414,537
"10309","苗栗縣通霄鎮","平元里","683","2285","1197","1088",282,290,220,264,235,230,118,118,38,35,893,937
"10309","苗栗縣通霄鎮","平安里","754","2584","1311","1273",306,328,284,281,255,266,126,113,53,29,1024,1017
"10309","苗栗縣通霄鎮","新埔里","427","1481","787","694",186,163,115,189,141,149,93,104,46,45,581,650
"10309","苗栗縣通霄鎮","梅南里","550","1949","1031","918",228,236,180,234,184,205,104,122,60,31,756,828
"10309","苗栗縣通霄鎮","楓樹里","232","541","320","221",32,42,31,76,44,82,51,58,40,23,198,281
"10309","苗栗縣通霄鎮","烏眉里","398","1089","584","505",98,94,84,109,86,153,84,94,65,40,417,490
"10309","苗栗縣通霄鎮","白東里","512","1687","864","823",220,215,159,201,173,196,86,65,39,35,677,712
"10309","苗栗縣通霄鎮","白西里","305","905","506","399",84,109,84,115,97,134,48,54,38,26,351,438
"10309","苗栗縣通霄鎮","福源里","307","990","527","463",96,114,94,153,88,94,47,52,34,17,359,430
"10309","苗栗縣通霄鎮","福興里","326","816","451","365",64,73,73,91,74,130,58,65,39,26,308,385
"10309","苗栗縣通霄鎮","福龍里","219","507","295","212",33,35,38,70,37,72,38,60,40,28,186,265
"10309","苗栗縣通霄鎮","通南里","974","3407","1775","1632",410,479,311,360,392,357,175,148,67,55,1355,1399
"10309","苗栗縣通霄鎮","通東里","489","1445","713","732",172,169,131,148,153,170,99,75,56,36,611,598
"10309","苗栗縣通霄鎮","通灣里","817","2817","1473","1344",330,342,275,336,267,315,162,141,70,41,1104,1175
"10309","苗栗縣通霄鎮","通西里","848","2471","1248","1223",277,292,218,273,259,263,179,146,90,60,1023,1034
"10309","苗栗縣竹南鎮","中港里","448","1349","711","638",127,159,144,158,116,145,69,66,30,17,486,545
"10309","苗栗縣竹南鎮","中美里","734","2507","1294","1213",288,341,287,303,272,273,95,72,33,26,975,1015
"10309","苗栗縣竹南鎮","中英里","539","1798","919","879",224,261,204,220,192,186,77,59,22,15,719,741
"10309","苗栗縣竹南鎮","中華里","1094","3424","1725","1699",374,417,420,418,346,323,153,115,59,36,1352,1309
"10309","苗栗縣竹南鎮","佳興里","1311","4224","2107","2117",433,425,547,489,345,278,190,171,35,32,1550,1395
"10309","苗栗縣竹南鎮","公義里","385","1305","696","609",166,175,120,140,134,156,51,46,29,27,500,544
"10309","苗栗縣竹南鎮","公<U+8218>里","453","1475","780","695",175,189,144,173,166,168,69,60,37,29,591,619
"10309","苗栗縣竹南鎮","大厝里","2220","6492","3246","3246",716,803,828,795,548,499,273,248,98,56,2463,2401
"10309","苗栗縣竹南鎮","大埔里","1270","3988","2054","1934",509,555,375,446,440,438,169,161,82,53,1575,1653
"10309","苗栗縣竹南鎮","天文里","832","2676","1342","1334",344,340,350,326,226,208,72,66,20,13,1012,953
"10309","苗栗縣竹南鎮","山佳里","1931","5778","2910","2868",651,672,793,776,486,418,156,147,59,32,2145,2045
"10309","苗栗縣竹南鎮","崎頂里","1479","4280","2253","2027",534,590,458,581,445,471,145,129,85,56,1667,1827
"10309","苗栗縣竹南鎮","新南里","1819","5270","2614","2656",612,581,715,681,453,431,203,179,96,39,2079,1911
"10309","苗栗縣竹南鎮","正南里","1304","3452","1743","1709",360,392,410,391,351,351,166,153,70,39,1357,1326
"10309","苗栗縣竹南鎮","海口里","1402","4400","2243","2157",482,487,603,643,330,334,141,133,82,45,1638,1642
"10309","苗栗縣竹南鎮","港墘里","747","2482","1282","1200",312,287,284,297,201,234,96,110,48,34,941,962
"10309","苗栗縣竹南鎮","照南里","1488","4464","2211","2253",412,422,577,507,362,333,226,199,82,70,1659,1531
"10309","苗栗縣竹南鎮","營盤里","1316","4135","2059","2076",429,454,579,532,351,321,217,176,56,30,1632,1513
"10309","苗栗縣竹南鎮","竹南里","933","2450","1155","1295",282,219,293,257,290,239,141,121,59,44,1065,880
"10309","苗栗縣竹南鎮","竹興里","1266","3861","2006","1855",451,523,442,491,389,366,172,127,49,53,1503,1560
"10309","苗栗縣竹南鎮","聖福里","1391","4616","2318","2298",435,469,628,561,380,343,179,147,36,29,1658,1549
"10309","苗栗縣竹南鎮","開元里","297","930","477","453",112,129,116,113,77,90,35,33,18,11,358,376
"10309","苗栗縣竹南鎮","頂埔里","830","2635","1350","1285",332,325,268,312,289,295,153,145,40,25,1082,1102
"10309","苗栗縣竹南鎮","龍山里","809","2692","1333","1359",315,333,332,329,254,212,85,67,29,19,1015,960
"10309","苗栗縣竹南鎮","龍鳳里","825","2670","1319","1351",334,345,329,311,283,249,115,90,24,17,1085,1012
"10309","苗栗縣頭份鎮","上埔里","915","3133","1649","1484",316,411,311,367,314,336,173,153,68,40,1182,1307
"10309","苗栗縣頭份鎮","上興里","817","2269","1200","1069",271,299,275,278,205,231,76,89,35,38,862,935
"10309","苗栗縣頭份鎮","下興里","938","3049","1587","1462",339,360,344,396,309,299,138,141,49,42,1179,1238
"10309","苗栗縣頭份鎮","仁愛里","701","1900","933","967",195,197,224,204,203,206,108,96,47,34,777,737
"10309","苗栗縣頭份鎮","信義里","479","1097","587","510",107,127,121,148,113,152,55,43,25,13,421,483
"10309","苗栗縣頭份鎮","合興里","1062","3238","1644","1594",351,389,489,480,261,218,75,69,23,7,1199,1163
"10309","苗栗縣頭份鎮","和平里","445","1280","646","634",126,124,161,152,112,123,89,99,36,13,524,511
"10309","苗栗縣頭份鎮","土牛里","298","1080","552","528",115,132,104,124,100,117,65,62,33,15,417,450
"10309","苗栗縣頭份鎮","尖下里","929","3234","1701","1533",374,418,314,347,308,377,170,146,99,58,1265,1346
"10309","苗栗縣頭份鎮","尖山里","485","1666","848","818",215,209,174,186,148,192,98,84,44,25,679,696
"10309","苗栗縣頭份鎮","山下里","1418","4784","2401","2383",527,519,620,604,409,397,159,150,57,47,1772,1717
"10309","苗栗縣頭份鎮","廣興里","327","1098","579","519",109,126,97,114,108,151,61,67,38,22,413,480
"10309","苗栗縣頭份鎮","建國里","1425","4715","2306","2409",525,565,569,467,463,391,144,142,56,27,1757,1592
"10309","苗栗縣頭份鎮","後庄里","1558","4674","2384","2290",549,533,647,674,359,368,133,111,45,27,1733,1713
"10309","苗栗縣頭份鎮","忠孝里","1342","4181","2023","2158",493,435,518,445,378,339,205,157,61,34,1655,1410
"10309","苗栗縣頭份鎮","成功里","1475","4910","2374","2536",570,566,632,531,484,359,146,144,44,23,1876,1623
"10309","苗栗縣頭份鎮","文化里","1331","4081","1997","2084",473,484,570,537,336,285,118,96,25,25,1522,1427
"10309","苗栗縣頭份鎮","斗煥里","1141","3769","1938","1831",429,498,379,442,377,347,207,166,50,54,1442,1507
"10309","苗栗縣頭份鎮","新華里","1305","4564","2359","2205",493,551,466,532,442,462,264,231,88,76,1753,1852
"10309","苗栗縣頭份鎮","東庄里","1329","3693","1867","1826",402,475,419,446,388,358,195,160,77,38,1481,1477
"10309","苗栗縣頭份鎮","民族里","912","2406","1179","1227",272,278,344,287,230,216,131,107,34,25,1011,913
"10309","苗栗縣頭份鎮","民權里","761","2342","1223","1119",254,297,247,291,226,235,133,126,52,28,912,977
"10309","苗栗縣頭份鎮","民生里","893","2717","1374","1343",304,362,318,349,293,245,145,128,45,19,1105,1103
"10309","苗栗縣頭份鎮","流東里","781","2757","1465","1292",301,343,277,319,260,295,155,126,55,56,1048,1139
"10309","苗栗縣頭份鎮","濫坑里","764","2657","1378","1279",311,343,288,307,248,278,133,127,58,37,1038,1092
"10309","苗栗縣頭份鎮","珊湖里","672","2152","1131","1021",245,273,199,230,219,225,122,123,58,46,843,897
"10309","苗栗縣頭份鎮","田寮里","1541","4561","2244","2317",589,559,553,560,441,429,193,163,84,47,1860,1758
"10309","苗栗縣頭份鎮","自強里","947","2609","1250","1359",279,267,314,304,262,213,160,111,55,37,1070,932
"10309","苗栗縣頭份鎮","興隆里","1610","4990","2597","2393",602,610,542,676,473,493,208,206,73,57,1898,2042
"10309","苗栗縣頭份鎮","蘆竹里","518","1672","890","782",200,213,152,173,170,222,83,92,41,25,646,725
"10309","苗栗縣頭份鎮","蟠桃里","2495","6992","3411","3581",784,770,1135,964,525,423,166,151,53,32,2663,2340
"10309","苗栗縣頭份鎮","頭份里","1365","4065","1979","2086",491,477,474,441,446,374,172,152,65,40,1648,1484
"10309","苗栗縣後龍鎮","中和里","522","1316","721","595",120,104,101,164,111,202,103,107,64,49,499,626
"10309","苗栗縣後龍鎮","中龍里","313","1067","556","511",102,115,106,132,98,104,71,70,30,19,407,440
"10309","苗栗縣後龍鎮","北龍里","556","1831","931","900",199,210,182,191,189,185,118,98,44,29,732,713
"10309","苗栗縣後龍鎮","南港里","499","1416","790","626",132,175,126,191,123,180,97,100,61,44,539,690
"10309","苗栗縣後龍鎮","南龍里","539","1729","887","842",198,208,176,215,163,175,103,74,45,24,685,696
"10309","苗栗縣後龍鎮","埔頂里","949","3507","1797","1710",416,435,363,437,300,316,169,147,74,51,1322,1386
"10309","苗栗縣後龍鎮","外埔里","426","1218","663","555",99,105,104,174,101,171,93,93,65,34,462,577
"10309","苗栗縣後龍鎮","大山里","598","1849","975","874",173,182,190,260,167,191,131,131,58,47,719,811
"10309","苗栗縣後龍鎮","大庄里","1535","5313","2728","2585",635,685,566,600,534,499,211,184,80,57,2026,2025
"10309","苗栗縣後龍鎮","復興里","262","849","448","401",98,85,70,98,66,107,60,54,38,21,332,365
"10309","苗栗縣後龍鎮","新民里","465","1737","864","873",202,187,187,212,146,175,101,79,47,31,683,684
"10309","苗栗縣後龍鎮","東明里","577","1811","983","828",188,210,195,225,134,220,88,91,67,38,672,784
"10309","苗栗縣後龍鎮","校椅里","384","1154","596","558",126,126,105,118,117,136,72,60,32,28,452,468
"10309","苗栗縣後龍鎮","水尾里","387","1272","667","605",131,124,127,187,99,116,96,84,47,37,500,548
"10309","苗栗縣後龍鎮","海埔里","400","1164","620","544",120,135,132,159,102,140,70,68,46,36,470,538
"10309","苗栗縣後龍鎮","海寶里","399","1170","642","528",97,110,118,166,91,139,73,72,44,35,423,522
"10309","苗栗縣後龍鎮","溪洲里","814","2836","1467","1369",329,374,295,334,272,272,162,148,63,45,1121,1173
"10309","苗栗縣後龍鎮","灣寶里","493","1556","874","682",159,175,134,213,129,179,107,90,49,41,578,698
"10309","苗栗縣後龍鎮","福寧里","292","889","508","381",68,102,67,123,88,122,61,56,51,30,335,433
"10309","苗栗縣後龍鎮","秀水里","262","999","508","491",104,104,101,139,93,108,77,53,41,18,416,422
"10309","苗栗縣後龍鎮","豐富里","478","1543","793","750",188,156,141,196,165,172,88,85,49,37,631,646
"10309","苗栗縣後龍鎮","龍坑里","525","1533","825","708",151,179,141,194,147,189,95,92,54,36,588,690
"10309","苗栗縣後龍鎮","龍津里","241","765","418","347",81,88,72,95,60,84,45,37,26,31,284,335
"10309","苗栗縣卓蘭鎮","上新里","841","2589","1365","1224",306,321,236,267,295,324,132,151,53,47,1022,1110
"10309","苗栗縣卓蘭鎮","中街里","362","922","485","437",80,91,80,93,106,121,77,66,32,24,375,395
"10309","苗栗縣卓蘭鎮","內灣里","902","2708","1431","1277",332,369,219,275,292,323,171,169,51,54,1065,1190
"10309","苗栗縣卓蘭鎮","坪林里","632","2091","1096","995",277,271,189,208,201,266,100,104,50,40,817,889
"10309","苗栗縣卓蘭鎮","新厝里","671","1894","981","913",201,224,164,211,214,222,119,123,69,42,767,822
"10309","苗栗縣卓蘭鎮","新榮里","481","1397","726","671",140,150,131,153,153,155,98,103,33,30,555,591
"10309","苗栗縣卓蘭鎮","景山里","340","1147","587","560",148,112,121,132,78,114,68,60,32,26,447,444
"10309","苗栗縣卓蘭鎮","老庄里","886","2506","1281","1225",289,259,206,252,295,307,170,185,86,53,1046,1056
"10309","苗栗縣卓蘭鎮","苗豐里","306","918","502","416",87,123,82,92,113,130,52,55,23,24,357,424
"10309","苗栗縣卓蘭鎮","西坪里","320","909","470","439",104,86,73,103,99,122,50,53,34,20,360,384
