"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","金門縣金城鎮","北門里","1447","4673","2400","2273",537,523,530,564,546,610,211,202,65,41,1889,1940
"10309","金門縣金城鎮","南門里","1879","5984","2958","3026",731,703,698,674,694,717,273,236,121,71,2517,2401
"10309","金門縣金城鎮","古城里","1133","3769","1885","1884",458,411,478,478,448,454,168,165,71,45,1623,1553
"10309","金門縣金城鎮","東門里","1663","5599","2789","2810",650,615,683,664,663,730,239,211,94,44,2329,2264
"10309","金門縣金城鎮","珠沙里","896","2891","1495","1396",321,349,307,358,398,411,140,146,57,39,1223,1303
"10309","金門縣金城鎮","西門里","3366","10938","5401","5537",1351,1289,1310,1245,1285,1227,454,437,178,113,4578,4311
"10309","金門縣金城鎮","賢庵里","1368","4581","2354","2227",569,596,537,560,566,616,151,184,102,38,1925,1994
"10309","金門縣金城鎮","金水里","645","2065","1064","1001",263,245,213,245,264,296,87,85,53,34,880,905
"10309","金門縣金沙鎮","三山里","607","1942","970","972",210,207,237,232,238,250,103,111,55,41,843,841
"10309","金門縣金沙鎮","何斗里","635","2072","1010","1062",258,243,272,228,242,238,93,99,59,27,924,835
"10309","金門縣金沙鎮","光前里","808","2419","1190","1229",310,295,308,292,292,270,98,105,44,19,1052,981
"10309","金門縣金沙鎮","大洋里","400","1226","621","605",137,134,165,159,119,141,76,62,27,17,524,513
"10309","金門縣金沙鎮","官嶼里","657","2179","1068","1111",249,211,257,268,286,274,119,129,69,32,980,914
"10309","金門縣金沙鎮","汶沙里","1721","5444","2700","2744",714,678,607,603,654,646,234,249,126,58,2335,2234
"10309","金門縣金沙鎮","浦山里","738","2468","1192","1276",311,261,290,280,284,287,106,112,80,30,1071,970
"10309","金門縣金沙鎮","西園里","454","1540","802","738",160,180,161,199,212,212,65,91,51,26,649,708
"10309","金門縣金湖鎮","山外里","1071","3747","1850","1897",511,485,431,439,445,401,145,157,38,39,1570,1521
"10309","金門縣金湖鎮","料羅里","502","1886","1013","873",217,277,206,267,217,227,82,82,37,28,759,881
"10309","金門縣金湖鎮","新市里","1573","4785","2432","2353",590,618,582,602,493,513,259,221,59,51,1983,2005
"10309","金門縣金湖鎮","新湖里","2371","7668","3874","3794",969,1050,976,945,897,899,235,207,90,44,3167,3145
"10309","金門縣金湖鎮","正義里","797","2553","1303","1250",328,317,277,300,313,330,121,104,59,34,1098,1085
"10309","金門縣金湖鎮","溪湖里","473","1502","763","739",168,162,191,181,174,193,61,79,43,19,637,634
"10309","金門縣金湖鎮","瓊林里","985","3257","1609","1648",394,355,368,396,407,378,160,163,86,47,1415,1339
"10309","金門縣金湖鎮","蓮庵里","516","1680","826","854",210,210,202,198,204,186,86,84,35,23,737,701
"10309","金門縣金寧鄉","古寧村","1022","3300","1639","1661",345,352,429,412,393,379,174,202,105,78,1446,1423
"10309","金門縣金寧鄉","后盤村","497","1506","750","756",192,161,176,185,176,183,76,88,36,25,656,642
"10309","金門縣金寧鄉","安美村","1330","4325","2191","2134",532,498,520,551,479,507,177,194,96,55,1804,1805
"10309","金門縣金寧鄉","榜林村","1511","5060","2565","2495",666,560,598,646,614,692,174,217,102,54,2154,2169
"10309","金門縣金寧鄉","湖埔村","1738","5559","2779","2780",767,728,711,726,626,626,213,179,72,50,2389,2309
"10309","金門縣金寧鄉","盤山村","1496","7118","3660","3458",1505,1276,594,647,558,604,176,186,52,33,2885,2746
"10309","金門縣烈嶼鄉","上岐村","685","2803","1348","1455",359,307,342,306,357,349,150,142,87,55,1295,1159
"10309","金門縣烈嶼鄉","上林村","409","1452","695","757",186,150,184,183,177,158,71,69,43,25,661,585
"10309","金門縣烈嶼鄉","林湖村","890","3445","1786","1659",398,426,397,488,399,407,161,146,84,40,1439,1507
"10309","金門縣烈嶼鄉","西口村","621","2466","1216","1250",287,287,310,300,307,320,121,108,57,39,1082,1054
"10309","金門縣烈嶼鄉","黃埔村","390","1585","763","822",197,177,204,187,193,185,72,63,46,28,712,640
"10309","金門縣烏坵鄉","大坵村","52","309","167","142",24,27,45,53,25,30,14,13,3,5,111,128
"10309","金門縣烏坵鄉","小坵村","82","360","169","191",32,23,61,53,36,24,12,11,2,3,143,114
