"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","雲林縣斗六市","三光里","242","635","349","286",53,41,90,70,85,53,51,54,17,25,296,243
"10309","雲林縣斗六市","三平里","2067","5794","2800","2994",633,606,645,762,464,572,185,224,66,72,1993,2236
"10309","雲林縣斗六市","中和里","370","1000","513","487",92,95,124,103,100,88,77,82,17,18,410,386
"10309","雲林縣斗六市","久安里","905","2725","1414","1311",319,293,303,326,313,240,146,156,43,61,1124,1076
"10309","雲林縣斗六市","仁愛里","480","1314","660","654",143,149,119,122,141,141,90,99,21,29,514,540
"10309","雲林縣斗六市","保庄里","2015","5999","3017","2982",815,714,680,739,562,587,209,223,72,94,2338,2357
"10309","雲林縣斗六市","信義里","332","807","397","410",84,83,87,78,92,87,52,68,8,29,323,345
"10309","雲林縣斗六市","光興里","410","926","442","484",88,123,97,91,108,119,59,68,19,28,371,429
"10309","雲林縣斗六市","八德里","1218","3910","1998","1912",483,482,445,442,406,407,140,153,39,46,1513,1530
"10309","雲林縣斗六市","公正里","1353","3528","1670","1858",372,375,331,473,325,390,108,150,55,41,1191,1429
"10309","雲林縣斗六市","公誠里","1009","2800","1350","1450",293,293,283,365,226,299,110,122,28,29,940,1108
"10309","雲林縣斗六市","十三里","430","1346","690","656",144,147,149,136,168,129,71,78,33,43,565,533
"10309","雲林縣斗六市","嘉東里","566","1686","827","859",170,194,195,236,153,152,50,57,14,25,582,664
"10309","雲林縣斗六市","四維里","282","734","378","356",84,50,90,90,77,78,57,60,17,13,325,291
"10309","雲林縣斗六市","太平里","361","964","477","487",107,114,86,97,111,93,47,67,18,31,369,402
"10309","雲林縣斗六市","崙<U+5CEF>里","1036","2827","1390","1437",334,304,295,346,298,294,105,141,62,60,1094,1145
"10309","雲林縣斗六市","忠孝里","702","1757","880","877",159,187,168,187,195,172,112,125,37,47,671,718
"10309","雲林縣斗六市","成功里","1059","3244","1551","1693",391,358,302,369,290,349,116,126,26,39,1125,1241
"10309","雲林縣斗六市","明德里","1362","4179","2123","2056",520,480,482,490,366,420,121,137,38,40,1527,1567
"10309","雲林縣斗六市","林頭里","1624","4989","2566","2423",607,513,569,611,450,515,165,221,216,38,2007,1898
"10309","雲林縣斗六市","梅林里","671","2100","1116","984",233,226,262,200,236,192,125,130,52,49,908,797
"10309","雲林縣斗六市","榴中里","1628","5265","2629","2636",651,643,591,609,537,524,192,223,70,56,2041,2055
"10309","雲林縣斗六市","榴北里","398","1365","738","627",187,149,156,149,137,123,71,62,16,23,567,506
"10309","雲林縣斗六市","榴南里","681","2182","1095","1087",287,260,256,281,188,192,70,57,24,26,825,816
"10309","雲林縣斗六市","江厝里","869","2614","1269","1345",310,312,312,316,241,255,91,108,26,47,980,1038
"10309","雲林縣斗六市","湖山里","459","1419","778","641",155,131,184,134,174,148,88,98,41,44,642,555
