"統計年月","區域別","村里","戶數","總人口數","總人口數男","總人口數女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","高雄市鹽埕區","中原里","299","733","342","391",66,71,92,69,103,83,51,46,28,16,340,285
"10309","高雄市鹽埕區","中山里","500","1271","615","656",119,131,159,136,150,145,104,81,35,37,567,530
"10309","高雄市鹽埕區","光明里","779","1589","773","816",144,139,164,169,244,245,111,99,49,33,712,685
"10309","高雄市鹽埕區","南端里","455","1144","571","573",110,106,107,118,143,147,94,79,43,27,497,477
"10309","高雄市鹽埕區","博愛里","329","753","366","387",74,84,83,70,94,111,68,36,25,16,344,317
"10309","高雄市鹽埕區","壽星里","722","1500","770","730",132,146,161,165,227,212,106,112,36,37,662,672
"10309","高雄市鹽埕區","府北里","1119","2184","1167","1017",177,215,227,253,294,325,157,175,44,48,899,1016
"10309","高雄市鹽埕區","慈愛里","171","392","196","196",33,41,36,41,56,58,27,23,17,6,169,169
"10309","高雄市鹽埕區","教仁里","988","2486","1233","1253",241,290,252,256,334,310,191,155,65,34,1083,1045
"10309","高雄市鹽埕區","新化里","283","731","378","353",59,75,85,95,68,81,65,36,16,17,293,304
"10309","高雄市鹽埕區","新樂里","403","972","479","493",91,100,103,93,151,128,68,60,26,25,439,406
"10309","高雄市鹽埕區","新豐里","445","987","499","488",92,101,117,123,102,119,62,33,27,17,400,393
"10309","高雄市鹽埕區","江南里","295","789","415","374",73,81,82,96,81,107,53,44,20,15,309,343
"10309","高雄市鹽埕區","江西里","528","1274","650","624",127,157,115,139,169,188,87,59,38,27,536,570
"10309","高雄市鹽埕區","沙地里","321","828","411","417",92,94,80,89,104,112,63,46,20,14,359,355
"10309","高雄市鹽埕區","河濱里","798","1961","964","997",219,223,189,194,281,265,125,111,59,35,873,828
"10309","高雄市鹽埕區","港都里","561","1330","646","684",128,139,140,128,165,179,97,77,32,23,562,546
"10309","高雄市鹽埕區","瀨南里","315","679","350","329",57,64,66,77,90,98,45,63,33,15,291,317
"10309","高雄市鹽埕區","育仁里","391","893","417","476",94,83,94,104,128,99,65,55,22,15,403,356
"10309","高雄市鹽埕區","藍橋里","622","1570","770","800",153,142,195,169,206,198,87,67,28,32,669,608
"10309","高雄市鹽埕區","陸橋里","580","1413","692","721",143,152,147,135,190,199,112,93,40,28,632,607
"10309","高雄市鼓山區","光化里","649","1509","750","759",149,155,150,204,210,201,126,83,36,33,671,676
"10309","高雄市鼓山區","光榮里","1452","4066","2063","2003",447,470,417,502,517,485,279,217,84,65,1744,1739
"10309","高雄市鼓山區","內惟里","512","1364","709","655",137,151,145,171,153,179,91,81,31,24,557,606
"10309","高雄市鼓山區","前峰里","1919","4825","2422","2403",533,619,497,524,649,605,362,240,86,91,2127,2079
"10309","高雄市鼓山區","厚生里","1523","3760","1922","1838",373,445,533,540,395,362,204,184,45,37,1550,1568
"10309","高雄市鼓山區","哨船頭里","483","1160","611","549",94,120,128,148,155,161,76,72,26,21,479,522
"10309","高雄市鼓山區","壽山里","625","1617","815","802",165,166,175,220,203,199,131,76,27,24,701,685
"10309","高雄市鼓山區","寶樹里","1011","1951","1092","859",176,185,218,327,234,347,109,115,40,31,777,1005
"10309","高雄市鼓山區","山下里","680","1495","740","755",146,180,177,183,219,196,108,65,24,27,674,651
"10309","高雄市鼓山區","峰南里","409","990","523","467",97,125,76,116,130,149,83,54,29,22,415,466
"10309","高雄市鼓山區","平和里","1525","4035","1968","2067",449,453,501,510,487,438,264,217,68,44,1769,1662
"10309","高雄市鼓山區","延平里","362","941","483","458",94,103,97,113,106,119,68,61,29,10,394,406
"10309","高雄市鼓山區","建國里","942","2692","1415","1277",268,336,261,329,353,317,166,141,43,40,1091,1163
"10309","高雄市鼓山區","忠正里","1712","4408","2172","2236",427,494,494,507,613,504,310,238,94,59,1938,1802
"10309","高雄市鼓山區","惠安里","544","1379","754","625",113,164,139,158,171,210,78,81,45,24,546,637
"10309","高雄市鼓山區","新民里","464","1204","615","589",124,168,123,133,161,165,81,59,20,14,509,539
"10309","高雄市鼓山區","明誠里","8041","19923","9262","10661",1868,1813,3348,2268,2191,1728,716,497,183,151,8306,6457
"10309","高雄市鼓山區","桃源里","299","724","405","319",79,72,72,103,71,130,38,46,12,9,272,360
"10309","高雄市鼓山區","樹德里","490","1360","697","663",123,141,159,198,166,162,80,63,29,20,557,584
"10309","高雄市鼓山區","正德里","905","2355","1167","1188",244,252,294,297,261,267,150,111,37,22,986,949
"10309","高雄市鼓山區","民強里","1138","3139","1573","1566",320,381,342,375,403,369,223,172,63,48,1351,1345
"10309","高雄市鼓山區","民族里","568","1530","778","752",149,167,147,195,193,199,121,77,33,18,643,656
"10309","高雄市鼓山區","河邊里","674","1703","859","844",177,194,188,212,226,201,101,100,47,25,739,732
"10309","高雄市鼓山區","登山里","339","739","397","342",61,77,68,88,81,108,69,45,27,35,306,353
"10309","高雄市鼓山區","綠川里","679","1719","905","814",166,194,182,212,203,230,111,86,55,43,717,765
"10309","高雄市鼓山區","維生里","560","1464","738","726",136,152,181,176,181,199,105,92,42,24,645,643
"10309","高雄市鼓山區","自強里","342","826","420","406",57,54,82,99,95,113,97,52,40,68,371,386
"10309","高雄市鼓山區","興宗里","640","1479","782","697",119,162,160,170,187,239,117,92,34,37,617,700
"10309","高雄市鼓山區","華豐里","1850","4464","2149","2315",521,489,542,509,635,513,242,165,67,73,2007,1749
"10309","高雄市鼓山區","裕興里","1497","3620","1804","1816",398,454,382,446,522,402,224,144,58,66,1584,1512
"10309","高雄市鼓山區","裕豐里","1186","2874","1421","1453",341,374,264,283,447,385,189,107,68,75,1309,1224
"10309","高雄市鼓山區","雄峰里","991","2295","1115","1180",255,256,241,229,353,280,159,108,36,75,1044,948
"10309","高雄市鼓山區","麗興里","448","1109","583","526",101,121,115,139,142,149,87,74,26,23,471,506
"10309","高雄市鼓山區","鼓岩里","587","1452","738","714",118,152,125,170,205,202,153,88,47,27,648,639
"10309","高雄市鼓山區","鼓峰里","939","2330","1147","1183",235,305,278,243,318,270,177,103,35,62,1043,983
"10309","高雄市鼓山區","龍井里","588","1492","778","714",138,156,144,180,205,223,100,82,42,26,629,667
"10309","高雄市鼓山區","龍子里","7655","18510","8586","9924",1683,1547,3275,2346,1706,1304,581,514,121,95,7366,5806
"10309","高雄市鼓山區","龍水里","10250","23021","10479","12542",2153,1924,4372,3018,2186,1571,670,504,144,132,9525,7149
"10309","高雄市左營區","中北里","286","735","359","376",77,57,79,94,75,92,73,54,24,9,328,306
"10309","高雄市左營區","中南里","256","609","347","262",41,67,63,76,65,93,53,54,13,10,235,300
"10309","高雄市左營區","光輝里","1201","2917","1403","1514",277,312,307,333,404,308,246,134,57,60,1291,1147
"10309","高雄市左營區","合群里","1131","2652","1343","1309",182,232,196,239,348,361,319,130,162,259,1207,1221
"10309","高雄市左營區","城南里","230","589","293","296",50,56,63,70,73,75,50,40,20,20,256,261
"10309","高雄市左營區","埤北里","775","1529","802","727",109,138,152,180,244,220,121,72,40,118,666,728
"10309","高雄市左營區","埤東里","547","1257","668","589",119,111,100,130,137,174,98,78,37,52,491,545
"10309","高雄市左營區","埤西里","457","1057","542","515",97,120,108,104,145,141,93,74,37,38,480,477
"10309","高雄市左營區","尾北里","1575","3851","1971","1880",406,462,446,457,454,452,262,190,72,84,1640,1645
"10309","高雄市左營區","尾南里","368","846","437","409",85,80,80,103,84,122,87,55,19,22,355,382
"10309","高雄市左營區","尾西里","472","1229","614","615",124,108,123,142,136,159,105,88,46,37,534,534
"10309","高雄市左營區","屏山里","887","1860","900","960",157,155,197,251,284,195,169,42,31,143,838,786
"10309","高雄市左營區","崇實里","1735","3548","1726","1822",465,505,596,513,330,228,116,75,24,47,1531,1368
"10309","高雄市左營區","<U+5ECD>北里","228","524","286","238",55,54,45,58,52,77,40,41,16,15,208,245
"10309","高雄市左營區","<U+5ECD>南里","312","727","386","341",59,79,76,83,83,119,60,44,26,17,304,342
"10309","高雄市左營區","廟北里","459","1046","544","502",96,108,100,148,118,125,91,72,33,27,438,480
"10309","高雄市左營區","廟東里","382","980","535","445",85,111,110,142,98,130,76,68,20,15,389,466
"10309","高雄市左營區","新上里","11738","30054","14227","15827",3026,2904,4572,3516,3586,2888,1184,894,294,198,12662,10400
"10309","高雄市左營區","新下里","6009","15231","7210","8021",1450,1389,2341,2020,1707,1379,748,477,184,156,6430,5421
"10309","高雄市左營區","新中里","2037","5946","2986","2960",535,637,769,746,685,613,304,286,61,40,2354,2322
"10309","高雄市左營區","新光里","5962","15970","7648","8322",1395,1384,2670,2196,1540,1306,627,436,124,114,6356,5436
"10309","高雄市左營區","明建里","464","1034","512","522",99,120,133,128,101,103,59,33,32,34,424,418
"10309","高雄市左營區","果峰里","860","1914","944","970",166,201,197,197,261,229,181,47,68,153,873,827
"10309","高雄市左營區","果惠里","799","1728","813","915",167,176,183,161,292,216,137,57,55,99,834,709
"10309","高雄市左營區","果貿里","1491","3180","1514","1666",320,347,362,336,407,329,305,84,91,213,1485,1309
"10309","高雄市左營區","永清里","509","1301","692","609",137,157,164,177,82,34,25,5,6,117,414,490
"10309","高雄市左營區","海勝里","2800","6681","3250","3431",550,629,748,822,843,712,624,156,231,485,2996,2804
"10309","高雄市左營區","祥和里","232","457","235","222",14,21,67,66,52,24,57,3,7,81,197,195
"10309","高雄市左營區","福山里","15850","42021","20008","22013",3819,3618,7579,6018,3467,2756,1161,775,190,218,16216,13385
"10309","高雄市左營區","聖南里","220","624","319","305",54,74,78,65,63,78,50,45,15,9,260,271
"10309","高雄市左營區","聖后里","381","872","448","424",85,87,80,96,120,132,64,54,34,25,383,394
